player_id,start_year,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp
penabe01,1981,67,107.0,13.0,24.0,4.0,0.0,1.0,10.0,1.0,0.0,11.0,21.0,3.0,0.0,2.0,1.0,7.0
contrjo01,2003,163,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0
cruzju02,2001,190,68.0,2.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0,26.0,0.0,0.0,7.0,0.0,2.0
wisede01,2000,147,296.0,41.0,60.0,13.0,5.0,9.0,30.0,12.0,1.0,14.0,48.0,1.0,2.0,2.0,1.0,1.0
durritr01,1999,112,221.0,32.0,43.0,4.0,3.0,2.0,7.0,9.0,4.0,16.0,51.0,0.0,0.0,6.0,0.0,3.0
jeterde01,1995,786,3130.0,605.0,1008.0,153.0,35.0,78.0,414.0,108.0,37.0,341.0,572.0,11.0,48.0,23.0,23.0,66.0
izturce01,2001,658,2437.0,261.0,632.0,111.0,22.0,11.0,191.0,59.0,34.0,121.0,259.0,15.0,6.0,38.0,13.0,41.0
vidrojo01,1997,719,2564.0,396.0,782.0,197.0,9.0,72.0,346.0,14.0,12.0,207.0,292.0,9.0,25.0,21.0,19.0,65.0
torrean02,2002,89,257.0,33.0,54.0,6.0,4.0,1.0,13.0,9.0,7.0,17.0,57.0,0.0,1.0,6.0,4.0,7.0
bumbral01,1972,593,1954.0,305.0,558.0,90.0,29.0,23.0,162.0,113.0,36.0,175.0,340.0,11.0,11.0,11.0,13.0,21.0
reuscri01,1972,215,450.0,31.0,87.0,15.0,2.0,2.0,28.0,0.0,2.0,13.0,114.0,0.0,2.0,43.0,2.0,5.0
jeltzst01,1983,537,1383.0,144.0,287.0,35.0,17.0,1.0,95.0,13.0,7.0,197.0,277.0,26.0,2.0,24.0,6.0,44.0
ramsemi01,1978,327,686.0,77.0,171.0,23.0,6.0,2.0,54.0,14.0,7.0,45.0,91.0,8.0,2.0,13.0,3.0,19.0
niemara01,1979,81,24.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,2.0
webstle01,1989,193,427.0,48.0,111.0,26.0,1.0,10.0,53.0,1.0,2.0,46.0,56.0,2.0,6.0,3.0,1.0,13.0
