player_id,active_years,extra_stints,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,ob,pa,tb,war,ab_per_g,r_per_ab,batting_avg,double_per_ab,triple_per_ab,hr_per_ab,rbi_per_ab,sb_per_ob,cs_per_ob,sb_ratio,bb_per_pa,so_per_ab,slg,obp,rc,rc_per_ab,babip,iso,pa_per_so
penabe01,5,0,67,107.0,13.0,24.0,4.0,0.0,1.0,10.0,1.0,0.0,11.0,21.0,3.0,0.0,2.0,1.0,7.0,38.0,124.0,31.0,-0.2,1.59701493,0.12149533,0.22429907,0.03738318,0.00000000,0.00934579,0.09345794,0.02631579,0.00000000,1.00000000,0.08870968,0.19626168,0.28971963,0.29411765,9.19491525,0.07792301,0.26744186,0.06542056,5.61904762
wisede01,3,0,147,296.0,41.0,60.0,13.0,5.0,9.0,30.0,12.0,1.0,14.0,48.0,1.0,2.0,2.0,1.0,1.0,77.0,316.0,110.0,0.8,2.01360544,0.13851351,0.20270270,0.04391892,0.01689189,0.03040541,0.10135135,0.15584416,0.01298701,0.92307692,0.04430380,0.16216216,0.37162162,0.24281150,26.25806452,0.08470343,0.21250000,0.16891892,6.45833333
durritr01,4,0,112,221.0,32.0,43.0,4.0,3.0,2.0,7.0,9.0,4.0,16.0,51.0,0.0,0.0,6.0,0.0,3.0,59.0,243.0,59.0,-1.6,1.97321429,0.14479638,0.19457014,0.01809955,0.01357466,0.00904977,0.03167421,0.15254237,0.06779661,0.69230769,0.06584362,0.23076923,0.26696833,0.24894515,14.68776371,0.06197369,0.24404762,0.07239819,4.64705882
jeterde01,6,0,786,3130.0,605.0,1008.0,153.0,35.0,78.0,414.0,108.0,37.0,341.0,572.0,11.0,48.0,23.0,23.0,66.0,1408.0,3576.0,1465.0,72.0,3.98218830,0.19329073,0.32204473,0.04888179,0.01118211,0.02492013,0.13226837,0.07670455,0.02627841,0.74482759,0.09535794,0.18274760,0.46805112,0.39440994,569.37049842,0.16403644,0.37155414,0.14600639,6.06818182
vidrojo01,6,0,719,2564.0,396.0,782.0,197.0,9.0,72.0,346.0,14.0,12.0,207.0,292.0,9.0,25.0,21.0,19.0,65.0,1023.0,2845.0,1213.0,17.2,3.56606398,0.15444618,0.30499220,0.07683307,0.00351014,0.02808112,0.13494540,0.01368524,0.01173021,0.53846154,0.07275923,0.11388456,0.47308892,0.36021314,432.93287622,0.15623705,0.31996395,0.16809672,9.48972603
izturce01,6,1,658,2437.0,261.0,632.0,111.0,22.0,11.0,191.0,59.0,34.0,121.0,259.0,15.0,6.0,38.0,13.0,41.0,774.0,2630.0,820.0,6.2,3.70364742,0.10709889,0.25933525,0.04554780,0.00902749,0.00451375,0.07837505,0.07622739,0.04392765,0.63440860,0.04600760,0.10627821,0.33647928,0.29452852,241.38389367,0.09436431,0.28486239,0.07714403,9.87644788
torrean02,4,0,89,257.0,33.0,54.0,6.0,4.0,1.0,13.0,9.0,7.0,17.0,57.0,0.0,1.0,6.0,4.0,7.0,72.0,285.0,71.0,7.6,2.88764045,0.12840467,0.21011673,0.02334630,0.01556420,0.00389105,0.05058366,0.12500000,0.09722222,0.56250000,0.05964912,0.22178988,0.27626459,0.25806452,18.39781022,0.06714529,0.26108374,0.06614786,4.80701754
bumbral01,6,0,593,1954.0,305.0,558.0,90.0,29.0,23.0,162.0,113.0,36.0,175.0,340.0,11.0,11.0,11.0,13.0,21.0,755.0,2175.0,775.0,24.6,3.29510961,0.15609007,0.28556807,0.04605937,0.01484135,0.01177073,0.08290686,0.14966887,0.04768212,0.75838926,0.08045977,0.17400205,0.39662231,0.34556433,266.82714890,0.12532980,0.33354115,0.11105425,6.26176471
jeltzst01,6,0,537,1383.0,144.0,287.0,35.0,17.0,1.0,95.0,13.0,7.0,197.0,277.0,26.0,2.0,24.0,6.0,44.0,512.0,1638.0,359.0,-0.1,2.57541899,0.10412148,0.20751988,0.02530730,0.01229212,0.00072307,0.06869125,0.02539063,0.01367188,0.65000000,0.12026862,0.20028923,0.25958062,0.30604534,109.97215190,0.06960263,0.25742574,0.05206074,5.70397112
ramsemi01,5,0,327,686.0,77.0,171.0,23.0,6.0,2.0,54.0,14.0,7.0,45.0,91.0,8.0,2.0,13.0,3.0,19.0,226.0,757.0,212.0,-1.3,2.09785933,0.11224490,0.24927114,0.03352770,0.00874636,0.00291545,0.07871720,0.06194690,0.03097345,0.66666667,0.05944518,0.13265306,0.30903790,0.29619565,62.64295486,0.08569488,0.28355705,0.05976676,8.03296703
