player_id,end_year,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp
castrra01,2008,243,622.0,78.0,157.0,36.0,0.0,30.0,108.0,1.0,0.0,63.0,171.0,6.0,3.0,4.0,6.0,12.0
penabe01,1987,21,46.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,3.0
wisede01,2009,177,314.0,41.0,72.0,14.0,6.0,8.0,31.0,13.0,5.0,12.0,66.0,1.0,5.0,9.0,2.0,8.0
jacksch03,1994,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andruel01,2015,160,596.0,69.0,154.0,34.0,2.0,7.0,62.0,25.0,9.0,46.0,78.0,1.0,2.0,8.0,9.0,14.0
lewisfr02,2012,18,20.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0
pujollu01,1985,45,93.0,4.0,19.0,2.0,0.0,0.0,13.0,0.0,0.0,5.0,14.0,2.0,0.0,3.0,2.0,4.0
durritr01,2005,28,14.0,3.0,3.0,1.0,0.0,0.0,2.0,5.0,2.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
jeterde01,2004,580,2383.0,432.0,726.0,130.0,7.0,72.0,279.0,93.0,15.0,218.0,400.0,8.0,44.0,27.0,7.0,56.0
husonje01,1997,167,332.0,41.0,78.0,8.0,2.0,1.0,32.0,8.0,4.0,21.0,38.0,1.0,3.0,4.0,3.0,11.0
gipsoch01,2005,24,15.0,3.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0
izturce01,2010,509,1588.0,157.0,398.0,51.0,10.0,4.0,98.0,50.0,18.0,91.0,136.0,4.0,16.0,17.0,4.0,35.0
vidrojo01,2006,467,1693.0,218.0,498.0,107.0,3.0,43.0,204.0,7.0,3.0,190.0,171.0,19.0,11.0,8.0,15.0,54.0
scottro01,1982,119,387.0,50.0,79.0,9.0,3.0,0.0,27.0,37.0,7.0,57.0,39.0,0.0,1.0,14.0,2.0,8.0
torrean02,2011,326,1007.0,164.0,254.0,73.0,17.0,26.0,105.0,51.0,14.0,114.0,268.0,2.0,7.0,10.0,0.0,13.0
camermi01,2004,595,2112.0,333.0,523.0,117.0,16.0,98.0,342.0,104.0,26.0,275.0,611.0,9.0,30.0,7.0,23.0,39.0
mullira01,1986,500,1421.0,200.0,409.0,103.0,9.0,34.0,193.0,5.0,6.0,188.0,201.0,11.0,3.0,5.0,11.0,41.0
bumbral01,1981,442,1720.0,280.0,501.0,81.0,14.0,19.0,135.0,108.0,41.0,189.0,215.0,13.0,10.0,16.0,9.0,25.0
pencehu01,2015,376,1486.0,227.0,415.0,77.0,16.0,56.0,213.0,39.0,10.0,120.0,293.0,6.0,6.0,0.0,6.0,38.0
