player_id,year_num,war
nixja01,7,-0.9
curtich01,7,2.4
lowelmi01,13,0
byrneer01,9,-1.4
pearcst01,9,-0.4
hundlto01,11,2.5
orsuljo01,15,-0.5
graffto01,8,1.9
grosswa01,9,2.7
fernato01,8,4.5
hairsje02,15,0.8
munsoer01,7,-0.5
lopezlu02,9,0
cabrejo02,7,0.4
mosebll01,10,1.4
leede02,12,1.9
murraed02,9,5.6
beltrad01,12,3.3
mantoje01,7,-0.2
shiplcr01,9,1
stewash01,8,3.5
smithlo01,15,1.5
gibsoki01,11,0.9
rodrial01,14,9.4
dilonmi01,7,3
bowala01,13,-0.9
candaca01,7,-0.7
grossgr01,14,0
crispco01,15,0.4
pearcst01,8,5.9
driesda01,15,-0.1
stynech01,9,2.3
harpebr01,12,2.8
armasto01,12,-0.4
mazzile01,7,-0.1
petitgr01,7,0.8
alexama02,9,-0.7
byrdma01,7,3.5
foleyto02,10,-0.8
webstle01,11,-0.2
gonzafe01,7,-0.1
beltrca01,15,3.9
kempst01,9,0.1
wellmbr01,7,0.3
donnech01,11,-0.1
lansfca01,12,4.6
harpete01,7,-1.1
ellisma01,7,4
mccanbr01,7,2.5
wilsomo01,11,1.9
hammoje01,11,0.2
ramirar01,10,5.2
gibsoki01,15,1
whitefr01,9,1.3
abreubo01,10,3.6
perezed02,7,0
roberda07,7,2.1
howarth01,11,-0.8
petitgr01,8,-0.5
gwynnto01,10,5.6
skinnjo01,8,0.5
garcida01,12,-0.3
wardga01,10,-0.7
grandcu01,9,3
bellhma01,9,0.5
milleri01,13,1
devermi01,7,1.9
sweenma01,13,0.6
camermi01,10,1.5
claytro01,7,2.7
nievewi01,11,-0.3
northbi01,9,2.5
polanpl01,15,0.4
tablepa01,8,0.7
lacyle01,15,1.4
alomaro01,8,2.7
helmswe01,11,-0.1
lynnfr01,9,4.7
mumphje01,7,3.6
zaungr01,15,1.1
iviemi01,8,2.5
butlebi03,7,1.5
matthga01,9,1
castial01,8,-0.4
bonifem01,11,-0.5
wardda01,9,0.8
claytro01,8,1.9
gordoal01,11,0.1
quinolu01,9,-0.3
sandere02,10,0.1
amarari01,9,0.7
jasojo01,9,1
germaes01,10,0.4
blakeca01,8,2.3
nortogr01,9,-1.1
aybarer01,7,4.1
eusebto01,11,0.1
polonlu01,13,1.2
doumiry01,9,0.5
sandopa01,7,3.4
trillma01,13,1.2
karkoro01,9,1.1
brognri01,9,-1.1
sveumda01,12,-0.1
hendrge01,7,5.8
francje02,11,-1.1
ibanera01,11,4.5
anthoer01,8,-0.9
francje02,10,-0.2
younger01,12,-0.3
herndla01,7,0.2
velarra01,9,3.4
bumbral01,7,0.4
sveumda01,13,-0.8
meyerda01,8,-0.4
gomezch02,16,0.1
hardyjj01,9,3.9
walkela01,7,4.7
cubbami01,7,0.1
sandopa01,8,-0.9
clarkja01,7,3.1
hundlto01,13,0.4
davisra01,10,1.6
galaran01,7,-0.8
bennega01,12,-0.2
hanseda01,12,0.3
spierbi01,13,0
perryhe01,11,-0.1
edmonji01,14,1.3
upshawi01,7,2.6
abreubo01,16,1.6
schmimi01,11,7.4
coninje01,8,1.3
johnske05,10,0.5
vizquom01,16,4
sweenma01,9,-0.2
cartejo01,8,-1.8
guerrvl01,14,0.7
kendaja01,9,3.9
reynoha01,12,-0.8
davisch01,13,0.2
strawda01,7,4.7
moorech02,10,1
cairomi01,11,0.8
brunato01,10,1.4
buhneja01,15,0.1
johnske05,11,0.3
marshmi02,9,0.6
oatesjo01,12,-0.2
kaplega01,7,0.1
ripkeca01,15,3.9
davisra01,9,1.3
bumbral01,8,2.9
coninje01,9,0.1
morriha02,13,0.7
rolensc01,11,5.8
pujolal01,8,9.2
palmede01,7,2.1
flynndo01,9,-0.2
mientdo01,7,-0.5
cangejo01,11,1.8
crawfca02,13,2.3
daviser01,13,3.1
northbi01,8,2.2
wallide01,12,3.9
torrean02,12,-0.2
milleco01,7,0.1
wilsowi02,15,1.9
iviemi01,9,2.8
polidgu01,9,-0.1
mattido01,7,3.7
liriane01,7,0.6
driesda01,11,2.1
strawda01,11,-1
armasto01,8,-0.9
davisch01,9,2.8
giambja01,12,2.8
perryge01,9,0.7
molinjo01,8,0
crawfca02,14,-0.1
phelpke01,10,0.5
gonzafe01,8,-1.6
hillaa01,7,0.9
jamesdi01,13,-0.2
hudsoor01,7,2.1
alomasa02,14,0.2
barmecl01,12,0.6
howear01,9,1.4
jeffegr01,14,0.2
pickeca01,8,-0.2
fowlede01,10,1.6
dentbu01,12,0
hoilech01,8,2.5
bostoda01,10,-0.5
graffto01,12,1.1
guillca01,9,6
whitero02,9,2.1
buckjo01,10,0.1
bushho01,8,-0.2
willaje01,9,-0.2
justida01,9,3.8
dawsoan01,7,7.9
cabreme01,13,-0.1
hairsje01,9,0.2
winfida01,16,5.4
jordabr01,12,1.3
sandere02,12,3.5
hayesch01,8,1.9
iannech01,12,1.8
mcgeewi01,8,0.1
justida01,10,2.1
greenwi01,7,2.4
barmecl01,13,0.3
rodrial01,10,8.4
soriaal01,14,1.8
greenni01,9,-0.2
footeba01,9,-0.3
claytro01,16,-0.7
higgibo02,11,-0.4
kennead01,9,-1.4
wilsoda01,8,0
olivejo01,11,-0.9
saenzol01,12,0.6
lairdge01,7,1.5
phillto02,9,4.7
martite01,8,0.1
gonzalu01,8,1.9
deerro01,8,1.1
lansimi01,9,0.1
durhara01,12,3.1
shelbjo01,7,2
sundbji01,15,1
credejo01,8,0.4
samueju01,13,-0.2
hrbekke01,7,4
oglivbe01,16,0.5
melvibo01,7,-0.2
mcgeewi01,12,2
manueje01,7,0.2
varitja01,13,1.5
martije01,9,1.7
gonzalu01,9,2.3
booneaa01,10,-0.7
betemwi01,13,-0.3
youngdm01,13,-0.5
pedrodu01,7,5.1
ruggiju01,11,-0.8
chambch01,12,2.8
hinsker01,8,0.4
williea02,8,0
boonebo01,13,-0.9
whitalo01,13,5.3
whitefr01,14,4
hollato01,12,-0.1
soderer01,8,2.6
fletcda01,13,0
hundlni01,9,0.2
thompmi02,7,0.7
kellemi02,8,0.3
parenma01,9,0.7
pedrodu01,8,6.3
sandbry01,7,2.4
chavera01,7,0.1
huntebr02,7,0.4
daviser01,9,-0.4
beniqju01,9,-0.2
morenom01,9,1.5
vaughmo01,12,-0.5
ransoco01,7,0.1
betemwi01,12,0.8
devermi01,12,0.2
driesda01,8,2.6
johnsho01,8,6.9
heltoto01,10,2.2
espinal01,8,1.7
peterri01,8,0
devermi01,11,-0.1
ramirma02,7,7.3
morame01,8,2.1
headlch01,8,3.5
herrto01,11,2.8
templga01,8,1.4
willibe02,16,-0.4
castilu01,9,3.9
speiech01,12,1
easleda01,7,5.6
biggicr01,10,9.4
konerpa01,11,2
mauerjo01,12,1.5
obriech01,7,-0.2
grossgr01,9,0.1
lindad01,9,2
henderi01,13,4.6
buechst01,7,3.7
derosma01,11,1.8
parrage01,7,1
greenni01,10,-0.1
rodrilu01,7,0.2
soriaal01,15,2.5
bevacku01,7,1.2
lindad01,10,3.1
biggicr01,11,6.5
johnsho01,12,0.8
riverre01,8,-0.2
sveumda01,8,-0.3
renteed01,10,1.4
brownje01,7,2.3
butersa01,9,0
mirabdo01,11,-0.8
luzingr01,15,-0.4
headlch01,9,1.1
santara01,8,-0.1
sierrru01,16,1
jordake01,7,-0.3
hernara02,7,2.6
mauerjo01,11,2.1
murphda05,14,1.6
buckjo01,9,0.5
smithoz01,14,5
hendeda01,11,5.4
pierrju01,10,1.2
glaustr01,8,3.4
cummimi01,7,0
pagnoto01,9,-0.3
loducpa01,7,3.2
aldremi01,11,-0.3
gonzaad01,14,-1.2
lampkto01,10,0.5
