year,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,ob,pa,tb,ab_per_g,r_per_ab,batting_avg,double_per_ab,triple_per_ab,hr_per_ab,rbi_per_ab,sb_per_ob,cs_per_ob,sb_ratio,bb_per_pa,so_per_ab,slg,obp,rc,rc_per_ab,babip,iso,pa_per_so
1970,29,83.6585365853658537,8.9512195121951220,20.0975609756097561,3.0243902439024390,0.80487804878048780488,0.70731707317073170732,6.8536585365853659,1.7804878048780488,0.87804878048780487805,6.3170731707317073,13.7073170731707317,0.36585365853658536585,0.41463414634146341463,0.65853658536585365854,0.60975609756097560976,1.9024390243902439,27.1951219512195122,92.0243902439024390,26.8536585365853659,2.8323699421965318,0.10699708454810495627,0.24023323615160349854,0.03615160349854227405,0.00962099125364431487,0.00845481049562682216,0.08192419825072886297,0.06547085201793721973,0.03228699551569506726,0.66972477064220183486,0.06864564007421150278,0.16384839650145772595,0.32099125364431486880,0.29482712409541677834,323.2266196801301166,0.08761903488211713650,0.27758379888268156425,0.08075801749271137026,6.5640569395017794
1971,54,165.5857142857142857,19.0857142857142857,40.3000000000000000,5.9714285714285714,1.1142857142857143,2.5142857142857143,14.8000000000000000,3.0285714285714286,1.3571428571428571,14.9857142857142857,25.9857142857142857,1.2428571428571429,1.1714285714285714,1.6428571428571429,1.0428571428571429,3.4000000000000000,57.7000000000000000,185.6714285714285714,56.0428571428571429,3.0454545454545455,0.11526184108359934432,0.24337848330601328617,0.03606246225519799845,0.00672935898541972220,0.01518419463376757829,0.08937969113967733586,0.05248823966328299084,0.02352067343401832137,0.69055374592833876221,0.08071093329229822267,0.15693210249331377793,0.33845224743335346389,0.30887065259867135600,1201.1083860759493671,0.09502439763259093094,0.27355465922018823043,0.09507376412734017772,6.9488730071467839
1972,67,214.5825242718446602,22.9126213592233010,52.6990291262135922,7.8446601941747573,1.4757281553398058,3.5631067961165049,19.0582524271844660,4.2621359223300971,2.3592233009708738,17.9320388349514563,33.7961165048543689,1.5728155339805825,1.1844660194174757,2.3592233009708738,1.1650485436893204,4.4854368932038835,73.3883495145631068,238.7961165048543689,74.1844660194174757,3.1920854997111496,0.10677766717944077459,0.24558863451271378156,0.03655777757668989232,0.00687720568274364311,0.01660483214188761198,0.08881549181069586463,0.05807646514089165233,0.03214710940600608546,0.64369501466275659824,0.07509351114002276793,0.15749705908967514252,0.34571531988055379604,0.30577487495349510148,2321.1104847801578354,0.09691888950604024533,0.27544356155437030587,0.10012668536784001448,6.8799195633438667
1973,75,231.5915492957746479,29.0845070422535211,59.5352112676056338,8.7535211267605634,1.8450704225352113,4.8943661971830986,25.0211267605633803,4.2957746478873239,2.6690140845070423,22.1971830985915493,35.9718309859154930,2.0845070422535211,1.3732394366197183,2.0070422535211268,1.8309859154929577,5.2394366197183099,85.1901408450704225,261.0845070422535211,86.6619718309859155,3.0763330215154350,0.12558535547041294168,0.25706987775953293195,0.03779723894666423402,0.00796691601289302439,0.02113361308763607614,0.10803989539621723530,0.05042572538645945276,0.03133008183847234852,0.61678463094034378160,0.08501915088741436047,0.15532445417502888767,0.37420178799489144317,0.32337708601649631436,3963.1343581774793274,0.10997098502074142093,0.28376549756793329188,0.11713191023535851122,7.0552075176194205
1974,79,244.0520833333333333,29.5052083333333333,63.7812500000000000,9.6197916666666667,1.8437500000000000,4.0104166666666667,26.2031250000000000,5.4010416666666667,2.9531250000000000,22.5833333333333333,35.1822916666666667,2.1875000000000000,1.4427083333333333,2.9895833333333333,1.9114583333333333,5.7083333333333333,89.9947916666666667,275.1666666666666667,89.1197916666666667,3.0624142212927260,0.12089717871014554612,0.26134278031499423791,0.03941696188484356993,0.00755473985231977464,0.01643262623244696743,0.10736693840966323787,0.06001504716708142832,0.03281439898142253603,0.64650872817955112219,0.08207147183525136281,0.14415894831192112339,0.36516710060181825942,0.32522473860874262124,5542.3409383912177208,0.10826153335139308749,0.28906801007556675063,0.10382432028682402151,7.5786824574389341
1975,85,269.2217194570135747,33.8009049773755656,70.6063348416289593,11.2850678733031674,2.1266968325791855,5.0452488687782805,29.9954751131221719,5.8506787330316742,3.2850678733031674,26.5158371040723982,37.9411764705882353,2.6199095022624434,1.5837104072398190,3.6515837104072398,2.1764705882352941,6.1990950226244344,101.3257918552036199,305.7692307692307692,101.2805429864253394,3.1408963733305179,0.12555043867020740193,0.26226091633332212847,0.04191737537396214999,0.00789942519076271471,0.01874012571851154661,0.11141550976503411879,0.05774125842897333988,0.03242084580002679409,0.64041604754829123328,0.08671846096929337773,0.14092910686073481462,0.37619751924434434771,0.32957137893003369140,7350.7254199944918755,0.11246864071719593432,0.28703025020305473563,0.11393660291102221923,7.7946332737030411
1976,85,267.8341232227488152,32.4644549763033175,69.4454976303317536,10.8862559241706161,2.3364928909952607,4.1184834123222749,28.1232227488151659,7.0331753554502370,3.6113744075829384,24.8720379146919431,37.2748815165876777,2.0331753554502370,1.4928909952606635,3.0426540284360190,2.2796208530805687,5.7677725118483412,97.8436018957345972,301.5545023696682464,97.3601895734597156,3.1326496674057650,0.12121104878523525560,0.25928547413869375188,0.04064551519119494630,0.00872365650381328190,0.01537699290428750907,0.10500238883088846814,0.07188181157665294260,0.03690966335674497457,0.66073018699910952805,0.08247941157980763186,0.13917151805779201246,0.36350928105037778918,0.32316127691545310677,6619.4887226566927349,0.10717910530361705178,0.28561956071280563614,0.10422380691168403730,7.8526382708200890
1977,88,281.2787610619469027,37.3495575221238938,75.4823008849557522,12.9601769911504425,2.6637168141592920,6.4469026548672566,32.8008849557522124,6.4778761061946903,3.7876106194690265,25.8849557522123894,40.6504424778761062,2.2256637168141593,1.5884955752212389,2.8141592920353982,2.3097345132743363,5.9557522123893805,105.1814159292035398,316.1017699115044248,113.1106194690265487,3.1626368159203980,0.13278484796048388365,0.26835407195331057591,0.04607591750696094008,0.00947002469757271626,0.02291997671821170696,0.11661344365964542466,0.06158764881578393841,0.03601026460813596399,0.63103448275862068966,0.08188804434552555327,0.14452012773521685098,0.40212996901005206940,0.33098150782361308677,8436.0588167504573676,0.12152377327173334919,0.29191535539880629409,0.13377589705674149350,7.5562207467073038
1978,90,284.7678571428571429,35.4062500000000000,74.8750000000000000,12.3571428571428571,2.4866071428571429,5.4196428571428571,30.8616071428571429,7.1428571428571429,3.7812500000000000,26.0491071428571429,38.2366071428571429,2.2410714285714286,1.5669642857142857,3.5937500000000000,2.4419642857142857,6.1071428571428571,104.7321428571428571,320.6607142857142857,108.4642857142857143,3.1294706372957857,0.12433373048222236157,0.26293346710980121653,0.04339374176961183922,0.00873204991534457892,0.01903179281369536590,0.10837461591521916348,0.06820119352088661552,0.03610400682011935209,0.65386187167960768288,0.08123572979896419224,0.13427290399448172070,0.38088668715118831128,0.32554841820167042441,7889.0549387415078351,0.11331104575702724437,0.28517486619253610969,0.11795322004138709475,8.1287799182720374
1979,95,308.0969387755102041,41.7500000000000000,84.1836734693877551,13.8265306122448980,2.7959183673469388,6.6887755102040816,36.6836734693877551,7.6887755102040816,4.0408163265306122,27.8163265306122449,40.7704081632653061,2.4846938775510204,1.6479591836734694,3.8622448979591837,2.7244897959183673,6.8775510204081633,116.1326530612244898,346.6326530612244898,123.6683673469387755,3.2134418901660281,0.13550929835891831023,0.27323761736797655124,0.04487720867074039114,0.00907480086773643334,0.02170997068905559144,0.11906536175004553960,0.06620683595466127757,0.03479483349442052544,0.65550239234449760766,0.08024727700912569915,0.13232980608409094673,0.40139433984135658337,0.33397804965815041382,8081.7528820304075092,0.12275023742812630066,0.29425211646874212984,0.12815672247338003213,8.2391440370416719
