player_id,start_year,g,w,l,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,tbf
gregelu01,2009,435,22,27,0,0,0,19,1258.0,330,128,29,122,411,22.0,16.0,14.0,0,1702.0,76.0,145,21.0,5.0,1540.0
mintogr01,1975,141,10,15,6,0,0,23,730.0,227,89,4,96,99,18.0,22.0,5.0,6,1020.0,64.0,107,,,919.0
towerjo01,2001,112,40,45,97,4,2,1,1857.0,752,336,104,100,311,10.0,5.0,28.0,3,2664.0,6.0,365,10.0,22.0,2504.0
hillesh01,1987,163,21,32,51,1,1,10,1364.0,443,217,46,205,303,15.0,20.0,9.0,1,1977.0,53.0,236,,,1763.0
contrjo01,2003,163,65,50,152,5,3,0,2856.0,951,483,111,341,693,9.0,64.0,50.0,2,4121.0,4.0,531,24.0,29.0,3677.0
cruzju02,2001,187,19,30,38,0,0,1,1207.0,367,193,41,203,377,12.0,11.0,34.0,0,1772.0,58.0,218,25.0,15.0,1495.0
weathda01,1991,125,17,24,57,0,0,0,1133.0,455,230,34,185,235,21.0,19.0,18.0,1,1745.0,15.0,253,,,1542.0
nelsoje01,1992,377,20,24,0,0,0,13,1245.0,349,153,32,198,419,44.0,15.0,34.0,0,1779.0,120.0,173,,,1547.0
rozemda01,1977,150,42,37,96,35,7,8,2404.0,796,296,79,186,292,30.0,18.0,24.0,2,3308.0,32.0,337,,,3098.0
urbinug01,1995,251,29,25,21,0,0,110,1080.0,287,137,42,161,423,15.0,17.0,2.0,3,1518.0,184.0,152,0.0,0.0,1355.0
charlno01,1988,272,32,27,37,1,1,47,1606.0,451,176,38,207,469,21.0,39.0,17.0,7,2222.0,125.0,206,,,1998.0
eichhma01,1982,165,24,15,7,0,0,14,968.0,255,98,26,111,278,28.0,8.0,13.0,2,1323.0,65.0,107,,,1199.0
guantce01,1982,224,16,19,0,0,0,21,1199.0,341,149,33,156,339,20.0,13.0,15.0,2,1680.0,99.0,169,,,1509.0
arroybr01,2000,126,33,33,90,1,0,1,1765.0,611,300,62,190,367,23.0,17.0,43.0,3,2559.0,6.0,349,19.0,17.0,2290.0
mahlemi01,1977,79,12,24,44,2,0,0,819.0,298,159,32,133,188,14.0,17.0,11.0,4,1243.0,13.0,181,,,1099.0
almanar01,1999,248,14,13,0,0,0,2,632.0,184,114,33,133,230,13.0,7.0,6.0,4,932.0,48.0,122,7.0,12.0,774.0
reuscri01,1972,213,82,74,203,43,15,3,4058.0,1370,511,83,379,882,48.0,38.0,33.0,7,5706.0,7.0,588,,,5294.0
sorenla01,1977,184,69,68,172,59,9,2,3551.0,1316,522,89,254,366,25.0,17.0,16.0,13,4978.0,6.0,576,,,4708.0
niemara01,1979,81,4,5,9,3,2,3,463.0,167,83,6,63,81,10.0,8.0,4.0,4,681.0,22.0,90,,,614.0
rodrife01,1995,203,7,8,1,0,0,8,746.0,235,107,20,133,225,7.0,14.0,12.0,4,1102.0,86.0,118,2.0,3.0,952.0
coreybr01,1998,4,0,0,0,0,0,0,15.0,6,4,1,2,1,0.0,0.0,1.0,0,23.0,3.0,4,0.0,0.0,20.0
betanra01,2003,342,22,20,0,0,0,16,1138.0,334,136,39,93,377,23.0,8.0,1.0,1,1541.0,98.0,145,9.0,12.0,1426.0
reyesca01,1994,261,19,30,26,0,0,3,1470.0,511,248,69,202,330,21.0,25.0,14.0,4,2150.0,91.0,268,,,1934.0
garcija02,2008,99,39,25,90,3,3,0,1653.0,565,211,41,167,437,7.0,34.0,6.0,3,2339.0,4.0,258,23.0,15.0,2128.0
holmeda01,1990,254,14,16,0,0,0,51,893.0,290,136,22,121,263,16.0,18.0,7.0,2,1296.0,133.0,147,,,1168.0
brunebr01,2004,230,16,10,1,0,0,13,664.0,188,105,22,153,218,12.0,13.0,12.0,0,995.0,64.0,109,6.0,10.0,814.0
happja01,2007,116,35,35,96,4,3,0,1770.0,561,275,74,258,498,10.0,17.0,11.0,2,2543.0,8.0,292,35.0,23.0,2216.0
dayleke01,1982,192,23,31,33,0,0,20,1094.0,382,159,32,137,272,25.0,14.0,6.0,0,1574.0,76.0,190,,,1431.0
stiebda01,1979,186,81,67,184,76,18,0,4167.0,1228,509,100,448,775,22.0,20.0,51.0,7,5728.0,0.0,556,,,5229.0
timlimi01,1991,267,20,20,3,0,0,43,1039.0,328,143,23,152,295,28.0,15.0,9.0,1,1495.0,149.0,161,,,1334.0
