player_id,active_years,extra_stints,g,w,l,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,ibb,wp,hbp,bfp,gf,r,tbf,war,era,baopp,tbf_per_g,starter_ratio,w_per_g,l_per_g,p_win,gf_per_g,cg_per_g,sho_per_g,sv_per_g,ipouts_per_g,bb_per_bfp,hbp_per_bfp,hr_per_tbf,so_per_tbf,wp_per_bfp,so_per_bb
gregelu01,6,0,435,22,27,0,0,0,19,1258.0,330,128,29,122,411,22.0,16.0,14.0,1702.0,76.0,145,1540.0,6.9,2.74721781,0.21428571,3.54022989,0.00000000,0.05057471,0.06206897,0.44897959,0.17471264,0.00000000,0.00000000,0.04367816,2.89195402,0.07168038,0.00822562,0.01883117,0.26688312,0.00940071,3.36885246
towerjo01,6,0,112,40,45,97,4,2,1,1857.0,752,336,104,100,311,10.0,5.0,28.0,2664.0,6.0,365,2504.0,2.4,4.88529887,0.30031949,22.35714286,0.86607143,0.35714286,0.40178571,0.47058824,0.05357143,0.03571429,0.01785714,0.00892857,16.58035714,0.03753754,0.01051051,0.04153355,0.12420128,0.00187688,3.11000000
mintogr01,6,0,141,10,15,6,0,0,23,730.0,227,89,4,96,99,18.0,22.0,5.0,1020.0,64.0,107,919.0,17.0,3.29178082,0.24700762,6.51773050,0.04255319,0.07092199,0.10638298,0.40000000,0.45390071,0.00000000,0.00000000,0.16312057,5.17730496,0.09411765,0.00490196,0.00435256,0.10772579,0.02156863,1.03125000
hillesh01,6,2,163,21,32,51,1,1,10,1364.0,443,217,46,205,303,15.0,20.0,9.0,1977.0,53.0,236,1763.0,1.7,4.29545455,0.25127623,10.81595092,0.31288344,0.12883436,0.19631902,0.39622642,0.32515337,0.00613497,0.00613497,0.06134969,8.36809816,0.10369246,0.00455235,0.02609189,0.17186614,0.01011634,1.47804878
cruzju02,6,0,187,19,30,38,0,0,1,1207.0,367,193,41,203,377,12.0,11.0,34.0,1772.0,58.0,218,1495.0,5.2,4.31731566,0.24548495,7.99465241,0.20320856,0.10160428,0.16042781,0.38775510,0.31016043,0.00000000,0.00000000,0.00534759,6.45454545,0.11455982,0.01918736,0.02742475,0.25217391,0.00620767,1.85714286
contrjo01,6,1,163,65,50,152,5,3,0,2856.0,951,483,111,341,693,9.0,64.0,50.0,4121.0,4.0,531,3677.0,13.5,4.56617647,0.25863476,22.55828221,0.93251534,0.39877301,0.30674847,0.56521739,0.02453988,0.03067485,0.01840491,0.00000000,17.52147239,0.08274691,0.01213298,0.03018765,0.18846886,0.01553021,2.03225806
weathda01,6,1,125,17,24,57,0,0,0,1133.0,455,230,34,185,235,21.0,19.0,18.0,1745.0,15.0,253,1542.0,11.1,5.48102383,0.29507134,12.33600000,0.45600000,0.13600000,0.19200000,0.41463415,0.12000000,0.00000000,0.00000000,0.00000000,9.06400000,0.10601719,0.01031519,0.02204929,0.15239948,0.01088825,1.27027027
nelsoje01,6,0,377,20,24,0,0,0,13,1245.0,349,153,32,198,419,44.0,15.0,34.0,1779.0,120.0,173,1547.0,15.1,3.31807229,0.22559793,4.10344828,0.00000000,0.05305040,0.06366048,0.45454545,0.31830239,0.00000000,0.00000000,0.03448276,3.30238727,0.11129848,0.01911186,0.02068520,0.27084680,0.00843170,2.11616162
rozemda01,6,0,150,42,37,96,35,7,8,2404.0,796,296,79,186,292,30.0,18.0,24.0,3308.0,32.0,337,3098.0,15.8,3.32445923,0.25693996,20.65333333,0.64000000,0.28000000,0.24666667,0.53164557,0.21333333,0.23333333,0.04666667,0.05333333,16.02666667,0.05622733,0.00725514,0.02550032,0.09425436,0.00544135,1.56989247
urbinug01,6,0,251,29,25,21,0,0,110,1080.0,287,137,42,161,423,15.0,17.0,2.0,1518.0,184.0,152,1355.0,13.3,3.42500000,0.21180812,5.39840637,0.08366534,0.11553785,0.09960159,0.53703704,0.73306773,0.00000000,0.00000000,0.43824701,4.30278884,0.10606061,0.00131752,0.03099631,0.31217712,0.01119895,2.62732919
charlno01,6,0,272,32,27,37,1,1,47,1606.0,451,176,38,207,469,21.0,39.0,17.0,2222.0,125.0,206,1998.0,8.5,2.95890411,0.22572573,7.34558824,0.13602941,0.11764706,0.09926471,0.54237288,0.45955882,0.00367647,0.00367647,0.17279412,5.90441176,0.09315932,0.00765077,0.01901902,0.23473473,0.01755176,2.26570048
guantce01,6,0,224,16,19,0,0,0,21,1199.0,341,149,33,156,339,20.0,13.0,15.0,1680.0,99.0,169,1509.0,6.4,3.35529608,0.22597747,6.73660714,0.00000000,0.07142857,0.08482143,0.45714286,0.44196429,0.00000000,0.00000000,0.09375000,5.35267857,0.09285714,0.00892857,0.02186879,0.22465209,0.00773810,2.17307692
eichhma01,3,0,165,24,15,7,0,0,14,968.0,255,98,26,111,278,28.0,8.0,13.0,1323.0,65.0,107,1199.0,19.3,2.73347107,0.21267723,7.26666667,0.04242424,0.14545455,0.09090909,0.61538462,0.39393939,0.00000000,0.00000000,0.08484848,5.86666667,0.08390023,0.00982615,0.02168474,0.23185988,0.00604686,2.50450450
