player_id,end_year,g,w,l,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,tbf
gregelu01,2015,64,7,3,0,0,0,31,183.0,48,21,5,10,59,2.0,1.0,2.0,0,239.0,53.0,24,2.0,0.0,225.0
mintogr01,1984,280,25,29,1,0,0,92,1315.0,439,146,17,182,173,58.0,19.0,2.0,2,1887.0,205.0,168,,,1703.0
towerjo01,2009,27,5,10,15,0,0,0,337.0,135,66,18,23,78,3.0,1.0,7.0,0,494.0,8.0,76,3.0,5.0,456.0
hillesh01,1993,18,3,6,11,0,0,0,182.0,78,47,8,33,29,1.0,1.0,4.0,0,288.0,4.0,48,,,251.0
contrjo01,2012,129,13,17,23,0,0,9,648.0,218,107,19,80,191,6.0,8.0,12.0,0,938.0,32.0,124,15.0,4.0,827.0
cruzju02,2010,161,13,5,0,0,0,2,505.0,134,70,18,96,203,4.0,8.0,9.0,2,724.0,44.0,81,6.0,5.0,608.0
weathda01,2000,195,17,17,10,0,0,3,915.0,343,158,30,126,236,14.0,11.0,8.0,3,1352.0,51.0,171,4.0,1.0,1213.0
nelsoje01,2001,226,19,11,0,0,0,8,617.0,145,70,8,133,229,8.0,10.0,19.0,1,900.0,50.0,77,8.0,2.0,738.0
rozemda01,1986,98,18,16,36,1,0,9,914.0,329,130,34,72,156,12.0,5.0,5.0,4,1292.0,29.0,153,,,1215.0
urbinug01,2004,251,10,18,0,0,0,117,773.0,196,98,32,107,294,11.0,11.0,3.0,3,1070.0,202.0,103,10.0,11.0,939.0
charlno01,1997,196,11,21,0,0,0,48,644.0,203,116,18,116,198,6.0,22.0,9.0,2,950.0,115.0,127,,,825.0
eichhma01,1991,212,10,16,0,0,0,15,904.0,310,111,13,82,195,13.0,5.0,15.0,7,1273.0,93.0,125,,,1176.0
guantce01,1990,139,13,15,1,0,0,14,586.0,171,81,28,80,164,18.0,1.0,12.0,3,839.0,65.0,87,,,747.0
arroybr01,2009,136,53,50,136,8,3,0,2615.0,887,387,119,260,630,21.0,17.0,33.0,0,3707.0,0.0,424,41.0,20.0,3353.0
mahlemi01,1986,43,2,8,14,1,1,4,399.0,131,52,8,57,74,5.0,12.0,5.0,0,571.0,10.0,61,,,509.0
almanar01,2005,6,0,0,0,0,0,0,12.0,5,1,1,3,2,0.0,1.0,0.0,0,19.0,1.0,1,0.0,0.0,16.0
reuscri01,1981,134,51,51,133,24,2,0,2685.0,929,339,53,238,455,30.0,26.0,24.0,2,3762.0,1.0,377,,,3500.0
sorenla01,1985,127,21,31,58,10,1,1,1465.0,564,244,50,133,173,23.0,13.0,12.0,7,2115.0,29.0,273,,,1970.0
niemara01,1987,41,3,3,1,0,0,0,137.0,52,20,2,19,21,2.0,3.0,2.0,0,204.0,14.0,22,,,183.0
rodrife01,2004,295,30,17,0,0,0,3,828.0,226,92,23,114,254,9.0,14.0,14.0,1,1156.0,62.0,95,10.0,8.0,1010.0
coreybr01,2007,41,3,1,0,0,0,0,145.0,41,18,1,19,34,0.0,0.0,2.0,0,198.0,5.0,18,2.0,4.0,171.0
betanra01,2012,261,12,8,0,0,0,42,715.0,193,80,26,48,280,11.0,8.0,0.0,3,948.0,105.0,85,7.0,9.0,884.0
reyesca01,2003,32,1,6,3,0,0,1,204.0,65,41,17,18,30,0.0,2.0,3.0,2,282.0,14.0,41,3.0,2.0,256.0
garcija02,2015,27,13,7,27,0,0,0,520.0,145,55,12,37,136,0.0,5.0,6.0,0,687.0,0.0,57,3.0,3.0,638.0
holmeda01,1999,182,18,12,6,0,0,6,799.0,294,126,27,103,209,16.0,7.0,4.0,2,1173.0,53.0,139,,,1066.0
brunebr01,2012,43,3,2,0,0,0,0,115.0,47,30,5,34,34,1.0,1.0,0.0,0,191.0,13.0,33,6.0,3.0,148.0
happja01,2015,80,27,26,75,0,0,0,1268.0,424,190,48,141,361,4.0,12.0,6.0,0,1805.0,2.0,203,4.0,8.0,1646.0
dayleke01,1991,191,10,14,0,0,0,19,625.0,181,73,10,84,132,24.0,12.0,2.0,1,869.0,69.0,81,,,783.0
stiebda01,1988,138,50,42,132,20,8,1,2587.0,766,335,82,349,556,8.0,19.0,44.0,6,3639.0,4.0,385,,,3246.0
timlimi01,2000,258,17,20,0,0,0,68,839.0,265,107,30,94,207,16.0,2.0,13.0,1,1174.0,163.0,119,7.0,2.0,1058.0
kamiesc01,2000,137,17,20,44,0,0,4,1045.0,362,188,40,164,219,10.0,14.0,13.0,0,1532.0,30.0,196,1.0,0.0,1354.0
brownja01,1977,74,18,23,52,11,4,0,1097.0,382,178,29,126,193,9.0,7.0,11.0,0,1581.0,3.0,193,,,1444.0
holdsfr01,1980,15,0,0,0,0,0,0,85.0,40,17,5,17,15,3.0,0.0,0.0,0,143.0,5.0,22,,,126.0
oswalro01,2010,128,52,36,126,9,4,0,2441.0,765,305,75,204,650,14.0,8.0,30.0,2,3366.0,0.0,322,36.0,24.0,3072.0
harkemi01,1997,60,10,15,33,1,0,0,701.0,292,143,37,87,101,6.0,2.0,5.0,2,1050.0,9.0,147,,,958.0
carpech01,2006,93,51,18,93,13,7,0,1936.0,567,222,63,132,549,5.0,12.0,21.0,0,2595.0,0.0,238,25.0,14.0,2403.0
huismma01,1991,15,1,0,0,0,0,1,58.0,26,15,2,3,20,1.0,2.0,1.0,0,88.0,1.0,19,,,84.0
