Year,features,CV,Test
7,1,0.577,0.568
7,4,0.591,0.569
7,7,0.589,0.574
7,10,0.596,0.576
7,14,0.599,0.579
7,18,0.602,0.575
7,22,0.6015,0.574
7,26,0.6025,0.574
7,30,0.599,0.573
7,35,0.595,0.571
8,1,0.558,0.592
8,4,0.56,0.593
8,7,0.563,0.584
8,10,0.564,0.589
8,14,0.578,0.587
8,18,0.585,0.575
8,22,0.584,0.58
8,26,0.581,0.58
8,30,0.584,0.576
8,35,0.581,0.571
9,1,0.595,0.542
9,4,0.599,0.535
9,7,0.604,0.541
9,10,0.608,0.541
9,14,0.607,0.537
9,18,0.616,0.536
9,22,0.613,0.542
9,26,0.611,0.547
9,30,0.616,0.546
9,35,0.616,0.545
10,1,0.595,0.53
10,4,0.624,0.557
10,7,0.63,0.552
10,10,0.629,0.554
10,14,0.635,0.572
10,18,0.638,0.566
10,22,0.637,0.566
10,26,0.632,0.563
10,30,0.632,0.56
10,35,0.63,0.555
11,1,0.58,0.586
11,4,0.591,0.595
11,7,0.604,0.603
11,10,0.616,0.619
11,14,0.619,0.612
11,18,0.629,0.623
11,22,0.631,0.621
11,26,0.629,0.624
11,30,0.629,0.623
11,35,0.628,0.62
