Year,features,Ridge R2 80% 3-fold cross,Ridge R2 20% Test
7,1,0.42,0.348
7,4,0.437,0.374
7,8,0.446,0.331
7,11,0.45,0.331
7,15,0.452,0.328
7,20,0.46,0.32
7,25,0.466,0.307
7,35,0.468,0.327
8,1,0.424,0.373
8,4,0.434,0.373
8,7,0.451,0.38
8,10,0.449,0.365
8,14,0.458,0.368
8,18,0.461,0.362
8,22,0.466,0.343
8,30,0.477,0.308
9,1,0.421,0.347
9,4,0.431,0.351
9,7,0.442,0.363
9,10,0.446,0.374
9,14,0.449,0.383
9,18,0.461,0.355
9,22,0.447,0.353
9,30,0.457,0.337
10,1,0.421,0.364
10,4,0.459,0.378
10,8,0.463,0.411
10,11,0.471,0.412
10,15,0.466,0.406
10,20,0.474,0.404
10,25,0.472,0.398
10,35,0.476,0.381
11,1,0.331,0.51
11,4,0.386,0.541
11,7,0.4,0.525
11,10,0.399,0.515
11,14,0.412,0.527
11,18,0.424,0.531
11,22,0.432,0.503
11,26,0.434,0.517
11,30,0.439,0.51
11,35,0.435,0.504
