"","player_id","war7","war8","war9","war10","war11","predwar7","predwar8","predwar9","predwar10","predwar11"
"1","alexama01",0.5,0.4,0.3,-1,-1,-0.281696428571429,0.236964285714286,0.0758373205741626,-0.304934210526316,-1.30242718446602
"10","allench01",-0.3,-1,-1,-1,-1,-0.580224719101123,-0.714987080103359,-1.28169642857143,-1.26303571428571,-1.32416267942584
"17","alomaro01",2.2,2.7,5.3,3.4,3.7,6.14914122137405,2.12233840304183,2.59970958373669,5.18914807302231,3.11977528089888
"34","anderji01",0,-1,-1,-1,-1,-0.177661596958175,-0.100290416263311,-1.11085192697769,-1.28022471910112,-1.41498708010336
"40","anderma02",-0.9,0.7,1.5,0.7,-0.2,2.11977528089888,-1.31498708010336,0.418303571428571,1.23696428571429,0.375837320574163
"52","andinro01",2.3,0.2,-0.3,-1,-1,0.222338403041825,2.19970958373669,0.0891480730223124,-0.580224719101123,-1.41498708010336
"62","ankieri01",-1,-1,1.2,2,0.4,0.148361469712016,-0.950858778625954,-1.07766159695817,1.09970958373669,1.88914807302231
"73","anthoer01",0.4,-0.9,0,-1,-1,-0.877661596958175,0.299709583736689,-1.01085192697769,-0.280224719101123,-1.41498708010336
"82","ashbyal01",-1,0.6,2.2,0.7,0.3,1.52233840304183,-1.10029041626331,0.489148073022312,1.91977528089888,0.285012919896641
"99","ashlebi01",0.2,-1,-1,-1,-1,-0.977661596958175,0.0997095837366894,-1.11085192697769,-1.28022471910112,-1.41498708010336
"106","auerbri01",-0.4,1.2,0.1,0.3,-0.5,-0.477661596958175,-0.500290416263311,1.08914807302231,-0.180224719101123,-0.114987080103359
"117","bailema01",0,-1,0,-1,-1,-1.10029041626331,-0.110851926977688,-1.28022471910112,-0.414987080103359,-1.28169642857143
"124","bailobo01",0.4,1.9,1.6,0.7,0.7,0.289148073022312,0.119775280898877,1.48501291989664,1.31830357142857,0.436964285714286
"135","bakopa01",-0.1,0.2,-0.4,-0.5,-0.8,0.318303571428571,-0.363035714285714,-0.124162679425837,-1.00493421052632,-0.802427184466019
"147","banksbr01",0.1,-0.3,-1,-1,-1,-1.41498708010336,-0.181696428571429,-0.563035714285714,-1.32416267942584,-1.60493421052632
"153","bardjo01",-0.3,-1.2,0,0,-1,0.619775280898877,-0.714987080103359,-1.48169642857143,-0.263035714285714,-0.324162679425837
"163","barrema02",0.7,0.4,-0.2,-0.1,-1,1.31977528089888,0.285012919896641,0.118303571428572,-0.463035714285714,-0.424162679425837
"173","bartlja01",2.5,-0.1,-0.8,-1,-0.2,5.91977528089888,2.08501291989664,-0.381696428571428,-1.06303571428571,-1.32416267942584
"183","batisto01",3,-0.5,-0.2,-1,-0.6,1.99970958373669,2.88914807302231,-0.780224719101123,-0.614987080103359,-1.28169642857143
"194","beckeri01",1.4,0.8,-1,-1,-1,-0.477661596958175,1.29970958373669,0.689148073022313,-1.28022471910112,-1.41498708010336
"202","beckhgo01",0.7,-1.2,-0.2,-1,-1,0.599709583736689,0.589148073022312,-1.48022471910112,-0.614987080103359,-1.28169642857143
"211","bellbu01",4.4,6.9,6.5,6.2,5.7,3.74914122137405,4.32233840304183,6.79970958373669,6.38914807302231,5.91977528089888
"229","bellda01",3.3,3.2,0.2,4.4,0.9,0.799709583736689,3.18914807302231,2.91977528089888,-0.214987080103359,4.11830357142857
"241","belleal01",6.9,5.6,1.5,7.1,3.4,5.59970958373669,6.78914807302231,5.31977528089888,1.08501291989664,6.81830357142857
"253","bellhma01",-0.1,3.7,0.5,0.9,-0.1,3.29970958373669,-0.210851926977688,3.41977528089888,0.0850129198966408,0.618303571428572
"263","bellja01",3.9,6.2,3.4,1.2,2,3.84914122137405,3.82233840304183,6.09970958373669,3.28914807302231,0.919775280898877
"281","benjami01",0.4,0.7,0.2,2,1.4,1.18914807302231,0.119775280898877,0.285012919896641,-0.0816964285714285,1.73696428571429
"294","betanyu01",-0.5,-1.1,-1.9,-1,-1,-1.01085192697769,-0.780224719101123,-1.51498708010336,-2.18169642857143,-1.26303571428571
"303","biggicr01",4.6,6.3,5.5,9.4,6.5,4.19970958373669,4.48914807302231,6.01977528089888,5.08501291989664,9.11830357142857
"323","blankky01",0.4,-1,-1,-1,-1,0.299709583736689,0.289148073022312,-1.28022471910112,-1.41498708010336,-1.28169642857143
"330","blankla01",0.3,-0.1,0.6,-1,-1,1.09970958373669,0.189148073022312,-0.380224719101123,0.185012919896641,-1.28169642857143
"339","blumge01",-0.1,1.1,0.7,0.2,-0.4,-0.981696428571428,-0.363035714285714,0.775837320574163,0.0950657894736842,-0.102427184466019
"353","bogarti01",0.5,-1.3,0.3,-1,-1,-1.28169642857143,0.236964285714286,-1.62416267942584,-0.304934210526316,-1.30242718446602
"362","bondsba01",9,9.9,6.2,7.5,9.6,7.82233840304183,8.89970958373669,9.78914807302231,5.91977528089888,7.08501291989664
