preds0	preds1	preds2	preds3	preds4		Year0		ID	1	2	3	4	5	6	7	8	9	10
0.6501082523	0.3172925095	0.2998224635	0.0066122268	-0.0626720366		1984		stubbfr01	2.8	0.2	0.1	0	0	-0.2	0	0	0	0
0.2809518969	0.1747847874	-0.2750276594	0.0505341568	-0.0615607573		2002		germaes01	-0.9	0.2	-0.1	0.4	0	0	0	0	0	0
1.3732203125	1.2794643149	1.0040712296	0.7255729702	0.4669912069		1984		valleda01	0.7	0.3	1.4	3.4	-0.1	-0.2	0.9	0	0	0
1.1466270693	1.5452159906	1.104233264	0.9778584174	0.884004848		1984		lavalmi01	1.8	1.5	1.6	0.5	0.4	0.6	0	0	0	0
2.45573699	2.0182682854	1.781088788	0.9309312782	0.8440137749		2004		uptonbj01	1.4	3	2.8	-1.6	-0.5	1.6	1.4	0	0	0
1.5124635959	0.9315222784	1.0069436768	0.0907372363	0.2807016888		1991		goodwto01	0.7	3	0	1.9	-0.5	1	0.2	-0.7	0	0
1.6490449894	1.1511847444	1.1063822425	1.4855280654	1.4612452977		1973		dentbu01	2.3	4	1.7	-0.6	0.3	0	0	0	0	0
1.9459824282	2.12070972	1.7759055228	1.3979229817	1.1830547459		1985		gallemi01	4.1	1.4	4.5	2.4	-0.4	-0.5	-0.2	0	0	0
0.1784745304	-0.4281330359	-0.4518501102	-0.1314335027	-0.0626052607		1972		lacocpe01	0.9	0.4	-1.3	0	0	0	0	0	0	0
0.191643259	0.3817785161	0.1250912228	0.2162025115	0.2188874208		1978		anderji01	0	0	0	0	0	0	0	0	0	0
3.5644156852	2.699595294	1.2584074039	1.3336635018	1.5339281913		1995		stewash01	3.9	3.5	3.1	1.8	0.4	0.1	1.4	0	0	0
2.6274886404	2.8190297558	1.4888740943	1.1737535167	1.6191766113		1986		roberbi01	5	-0.2	1.7	0.4	0.4	1.9	1	0	0	0
-0.0006813172	-0.5814414226	0.1141934313	-0.0183951839	-0.0599361115		1995		garcika01	0.1	1.1	-0.2	-1.5	0	0	0	0	0	0
0.393283187	0.0984653399	0.2899760363	-0.203942513	-0.0596021873		1997		brownem01	0	0	0.2	2	0	0	-0.2	0	0	0
-0.1154526293	-0.1990202269	-0.1378468631	-0.1487905287	-0.063362806		1999		blumge01	-0.1	1.1	0.7	0.2	-0.4	0.2	0.1	-0.2	0	0
-0.2746986062	-0.0923408622	-0.3427619682	-0.2626229259	-0.0667144199		1998		bakopa01	-0.1	0.2	-0.4	-0.5	-0.8	0	0	0	0	0
2.6098778017	1.8710539007	2.268319085	1.3816828626	1.9598046846		1986		steinte01	4	2.5	3.1	2.6	3.4	0.6	1.4	1.2	0	0
-0.1307331103	-0.2300581538	-0.3906108129	-0.2427382184	-0.0679329442		1994		davisru01	-0.6	-0.1	0	0	0	0	0	0	0	0
1.0486785163	0.9529088219	0.8268276419	0.6312967866	-0.0495783686		1978		lawru01	0.1	1.1	0.5	0	0	0	0	0	0	0
0.0579902016	-0.0689686162	-0.1124961903	0.0410883302	-0.0600511489		1978		spilmha01	0.1	-0.8	0.9	-0.2	-0.2	0.2	0	0	0	0
-0.3112253049	-0.6395908515	-0.2548587002	-0.2074927272	-0.0617514051		1975		briggda01	-0.3	-0.5	0	0	0	0	0	0	0	0
0.495943582	0.1225205348	0.1214507114	0.265012331	-0.0613186468		1970		doylede01	-0.2	0.1	0	0	0	0	0	0	0	0
2.3690658023	2.2906110426	0.7328787443	1.1838130311	1.1170526215		1976		wynegbu01	1.8	3.6	2.8	2.4	0	0	0.5	0	0	0
-0.3614824696	-0.1237055527	0.1037124827	-0.1274862068	-0.0609590242		1995		martisa01	-0.1	0	0	-0.1	0	0	0	0	0	0
3.8947112541	2.9142243372	2.5286581078	2.6100131903	1.4709353817		1984		mitchke01	4	2.7	0.3	2.6	3.7	0	0.9	-0.5	-0.5	0
1.8542482456	1.7080786736	1.1845206993	1.7182293303	0.9895345202		1974		cromawa01	1.6	2.1	2.7	2.2	0	0	0	0	0	0
3.4209543899	3.5083036263	2.6920896854	1.8372961012	1.4979450167		1970		luzingr01	2.4	4.2	5.2	-1.3	0.4	2.7	2.4	2.3	-0.4	0
1.8529684667	1.4709140442	0.4203970618	0.5862812951	0.3013533379		1983		webstmi01	1.2	3.4	-1	1.4	-1.1	0.2	-0.3	0	0	0
0.6356992043	0.8929253427	0.3700023569	-0.1508758836	-0.0530955483		2003		greenkh01	-0.8	0	0	0	0	0	0	0	0	0
0.2469397593	-0.1362921145	-0.2471095948	-0.0706329427	-0.0610188033		1977		fischmi01	-0.3	-0.1	0.1	-0.6	0	0	0	0	0	0
0.3861399884	-0.6245669747	-0.116761506	0.2221021585	-0.0623551761		1991		huntebr01	0	-0.2	0.7	-0.1	0	0	0	0	0	0
4.7052310726	4.3629601628	3.9025212286	4.6401994448	5.0116015749		1986		mcgwima01	6.4	1.5	1.5	5.5	6.4	5.1	7.5	5.2	4.2	0.3
2.9137850405	2.9001262143	2.289937444	1.6783797399	1.4730972468		1992		easleda01	5.6	1.9	4	2.7	0.5	-1.3	0.5	0.9	0.2	1.5
2.1242116367	1.37892601	1.718428856	1.121215613	1.2063177952		2009		walkene01	2.4	2.4	1.5	0	0	0	0	0	0	0
1.1143733359	0.7666781485	0.4033685178	0.1394921944	-0.0637525992		2007		butlebi03	1.5	-0.3	-0.9	0.1	0	0	0	0	0	0
