"","player_id","war7","war8","war9","war10","war11","predwar7","predwar8","predwar9","predwar10","predwar11"
"1","aasedo01",-1,2.1,0.2,2.3,0.4,0.461594202898551,-1.12993548387097,1.93545586107091,-0.0996592844974446,1.93523421588595
"14","aceveju01",0.1,1.2,-1,-1,-1,0.600340715502555,-0.264765784114053,0.887979539641944,-1.28730158730159,-1.06
"22","ackerji01",2.6,0,-0.5,-0.1,-1,-0.464544138929088,2.30034071550256,-0.364765784114053,-0.812020460358056,-0.387301587301587
"32","aguilri01",2.4,0.6,2.4,0.5,2.3,1.17006451612903,2.23545586107091,0.300340715502555,2.03523421588595,0.187979539641944
"48","alberma01",1.2,0.6,0.5,1.4,-2,-0.129935483870968,1.03545586107091,0.300340715502555,0.135234215885947,1.08797953964194
"60","anderbr04",1.5,-0.8,-0.5,-1,-1,0.876771196283391,1.26159420289855,-0.929935483870968,-0.664544138929088,-1.29965928449744
"69","andujjo01",5.8,1.3,3.6,2.2,1.5,-0.529935483870968,5.63545586107091,1.00034071550256,3.23523421588595,1.88797953964194
"82","appieke01",4.6,6,5.6,-0.2,1.4,4.47677119628339,4.36159420289855,5.87006451612903,5.43545586107091,-0.499659284497445
"98","aquinlu01",0.7,2.9,0.6,-0.8,-1,2.86159420289855,0.570064516129032,2.73545586107091,0.300340715502555,-1.16476578411405
"107","armasto02",0.5,0.7,-0.5,-0.2,-1,0.376771196283391,0.261594202898551,0.570064516129032,-0.664544138929088,-0.499659284497445
"117","armstmi01",-0.2,-0.7,-1,-1,-1,-0.164765784114053,-0.512020460358056,-0.987301587301587,-1.06,-1.56815642458101
"125","arnsbbr01",-0.8,-1,-1,-1,-1,-0.438405797101449,-0.929935483870968,-1.16454413892909,-1.29965928449744,-1.36476578411405
"131","assenpa01",-0.1,0.8,0.9,1.2,1.3,1.10034071550256,-0.464765784114053,0.487979539641944,0.612698412698413,1.14
"145","atherke01",-0.1,-1,-1,-1,-1,1.03545586107091,-0.399659284497445,-1.36476578411405,-1.31202046035806,-1.28730158730159
"152","baezda01",-0.6,-1,0.8,-0.5,-0.8,-0.329935483870968,-0.764544138929088,-1.29965928449744,0.435234215885947,-0.812020460358056
"162","bakersc02",4.3,-1,0.2,-0.4,-0.1,1.57006451612903,4.13545586107091,-1.29965928449744,-0.164765784114053,-0.712020460358056
"172","barkele01",3.6,1.2,1.3,-1,-1,2.27866354044549,3.57677119628339,0.961594202898551,1.17006451612903,-1.16454413892909
"183","beimejo01",0.9,1.8,1,0.9,-0.4,1.33545586107091,0.600340715502555,1.43523421588595,0.687979539641944,0.612698412698413
"196","belinst01",1.9,-0.3,1.6,1.2,-0.2,-0.538405797101449,1.77006451612903,-0.464544138929088,1.30034071550256,0.835234215885947
"208","bellhe01",1.9,0.9,-0.6,-0.2,-0.6,1.23523421588595,1.58797953964194,0.612698412698413,-0.66,-0.768156424581006
"219","bellro01",-1,-0.4,-1,-1,-1,-0.929935483870968,-1.16454413892909,-0.699659284497445,-1.36476578411405,-1.31202046035806
"226","bergmse01",0.1,-1.6,-1,-1,-1,2.17006451612903,-0.0645441389290882,-1.89965928449744,-1.36476578411405,-1.31202046035806
"234","bohanbr01",-0.4,0.4,3.2,3.1,3.1,0.476771196283391,-0.638405797101449,0.270064516129032,3.03545586107091,2.80034071550256
"246","bookegr01",0.1,-0.1,-1,-1,-1,-0.229935483870968,-0.0645441389290882,-0.399659284497445,-1.36476578411405,-1.31202046035806
"254","bootcch01",-0.8,-1,-1,-1,0,-0.864544138929088,-1.09965928449744,-1.36476578411405,-1.31202046035806,-1.28730158730159
"261","borowjo01",-0.3,2.3,2.1,-1,0.6,-1.16454413892909,-0.599659284497445,1.93523421588595,1.78797953964194,-1.28730158730159
"273","braybi01",0,-1,-1,-1,-1,0.770064516129032,-0.164544138929088,-1.29965928449744,-1.36476578411405,-1.31202046035806
"279","broweji01",-0.5,-1.1,-0.4,-1,-1,1.13523421588595,-0.812020460358056,-1.38730158730159,-0.46,-1.56815642458101
"288","brownke01",4.8,4,1.7,4.3,8,1.57677119628339,4.56159420289855,3.87006451612903,1.53545586107091,4.00034071550256
"307","brunebr01",-0.8,-0.3,0.1,-1,-1,0.461594202898551,-0.929935483870968,-0.464544138929088,-0.199659284497445,-1.36476578411405
"316","buehrma01",2.2,6.1,4.4,5.3,4,4.77677119628339,1.96159420289855,5.97006451612903,4.23545586107091,5.00034071550256
"332","bulliji01",-0.3,-1,-1,-1,-1,-1.96476578411405,-0.612020460358056,-1.28730158730159,-1.06,-1.56815642458101
"339","cadargr01",0.4,0.4,-1,-1,0.3,0.400340715502555,0.035234215885947,0.0879795396419438,-1.28730158730159,-1.06
