player_id,year-0,g-0,ab-0,r-0,h-0,double-0,triple-0,hr-0,rbi-0,sb-0,cs-0,bb-0,so-0,ibb-0,hbp-0,sh-0,sf-0,g_idp-0,ob-0,pa-0,tb-0,war-0,ab_per_g-0,r_per_ab-0,batting_avg-0,double_per_ab-0,triple_per_ab-0,hr_per_ab-0,rbi_per_ab-0,sb_per_ob-0,cs_per_ob-0,sb_ratio-0,bb_per_pa-0,so_per_ab-0,slg-0,obp-0,rc-0,rc_per_ab-0,babip-0,iso-0,pa_per_so-0,year-1,g-1,ab-1,r-1,h-1,double-1,triple-1,hr-1,rbi-1,sb-1,cs-1,bb-1,so-1,ibb-1,hbp-1,sh-1,sf-1,g_idp-1,ob-1,pa-1,tb-1,war-1,ab_per_g-1,r_per_ab-1,batting_avg-1,double_per_ab-1,triple_per_ab-1,hr_per_ab-1,rbi_per_ab-1,sb_per_ob-1,cs_per_ob-1,sb_ratio-1,bb_per_pa-1,so_per_ab-1,slg-1,obp-1,rc-1,rc_per_ab-1,babip-1,iso-1,pa_per_so-1,year-2,g-2,ab-2,r-2,h-2,double-2,triple-2,hr-2,rbi-2,sb-2,cs-2,bb-2,so-2,ibb-2,hbp-2,sh-2,sf-2,g_idp-2,ob-2,pa-2,tb-2,war-2,ab_per_g-2,r_per_ab-2,batting_avg-2,double_per_ab-2,triple_per_ab-2,hr_per_ab-2,rbi_per_ab-2,sb_per_ob-2,cs_per_ob-2,sb_ratio-2,bb_per_pa-2,so_per_ab-2,slg-2,obp-2,rc-2,rc_per_ab-2,babip-2,iso-2,pa_per_so-2,year-3,g-3,ab-3,r-3,h-3,double-3,triple-3,hr-3,rbi-3,sb-3,cs-3,bb-3,so-3,ibb-3,hbp-3,sh-3,sf-3,g_idp-3,ob-3,pa-3,tb-3,war-3,ab_per_g-3,r_per_ab-3,batting_avg-3,double_per_ab-3,triple_per_ab-3,hr_per_ab-3,rbi_per_ab-3,sb_per_ob-3,cs_per_ob-3,sb_ratio-3,bb_per_pa-3,so_per_ab-3,slg-3,obp-3,rc-3,rc_per_ab-3,babip-3,iso-3,pa_per_so-3,year-4,g-4,ab-4,r-4,h-4,double-4,triple-4,hr-4,rbi-4,sb-4,cs-4,bb-4,so-4,ibb-4,hbp-4,sh-4,sf-4,g_idp-4,ob-4,pa-4,tb-4,war-4,ab_per_g-4,r_per_ab-4,batting_avg-4,double_per_ab-4,triple_per_ab-4,hr_per_ab-4,rbi_per_ab-4,sb_per_ob-4,cs_per_ob-4,sb_ratio-4,bb_per_pa-4,so_per_ab-4,slg-4,obp-4,rc-4,rc_per_ab-4,babip-4,iso-4,pa_per_so-4,year-5,g-5,ab-5,r-5,h-5,double-5,triple-5,hr-5,rbi-5,sb-5,cs-5,bb-5,so-5,ibb-5,hbp-5,sh-5,sf-5,g_idp-5,ob-5,pa-5,tb-5,war-5,ab_per_g-5,r_per_ab-5,batting_avg-5,double_per_ab-5,triple_per_ab-5,hr_per_ab-5,rbi_per_ab-5,sb_per_ob-5,cs_per_ob-5,sb_ratio-5,bb_per_pa-5,so_per_ab-5,slg-5,obp-5,rc-5,rc_per_ab-5,babip-5,iso-5,pa_per_so-5
ordazlu01,1997.0,12.0,22.0,3.0,6.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0,7.0,0.1,1.83333333,0.13636364,0.27272727,0.04545455,0.0,0.0,0.04545455,0.42857143,0.0,1.0,0.04347826,0.09090909,0.31818182,0.30434783,2.13043478,0.0926276,0.3,0.04545455,11.5,1998.0,57.0,153.0,9.0,31.0,5.0,0.0,0.0,8.0,2.0,0.0,12.0,18.0,1.0,0.0,4.0,0.0,3.0,44.0,170.0,36.0,0.0,2.68421053,0.05882353,0.20261438,0.03267974,0.0,0.0,0.05228758,0.04545455,0.0,1.0,0.07058824,0.11764706,0.23529412,0.26060606,9.38181818,0.0568595,0.22962963,0.03267974,9.16666667,1999.0,10.0,9.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,11.0,1.0,0.0,0.9,0.33333333,0.11111111,0.0,0.0,0.0,0.22222222,0.5,0.0,1.0,0.09090909,0.22222222,0.11111111,0.2,0.2,0.02,0.14285714,0.0,5.0,2000.0,65.0,104.0,17.0,23.0,2.0,0.0,0.0,11.0,4.0,2.0,5.0,10.0,0.0,1.0,4.0,3.0,6.0,29.0,117.0,25.0,0.0,1.6,0.16346154,0.22115385,0.01923077,0.0,0.0,0.10576923,0.13793103,0.06896552,0.66666667,0.04273504,0.09615385,0.24038462,0.25663717,6.42201835,0.0589176,0.2371134,0.01923077,10.9,2001.0,28.0,56.0,8.0,14.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,8.0,0.0,1.0,2.0,1.0,1.0,18.0,63.0,17.0,0.3,2.0,0.14285714,0.25,0.05357143,0.0,0.0,0.07142857,0.0,0.0,0.6901578192252511,0.04761905,0.14285714,0.30357143,0.29508197,4.89830508,0.08302212,0.28571429,0.05357143,7.375,2002.0,33.0,94.0,11.0,21.0,2.0,0.0,0.0,4.0,2.0,3.0,12.0,13.0,0.0,0.0,4.0,1.0,2.0,33.0,111.0,23.0,0.0,2.84848485,0.11702128,0.22340426,0.0212766,0.0,0.0,0.04255319,0.06060606,0.09090909,0.4,0.10810811,0.13829787,0.24468085,0.30841121,7.16037736,0.06755073,0.25609756,0.0212766,8.15384615
distebe01,1984.0,45.0,78.0,10.0,13.0,1.0,2.0,3.0,9.0,0.0,1.0,5.0,13.0,1.0,1.0,2.0,0.0,3.0,20.0,87.0,27.0,0.1,1.73333333,0.12820513,0.16666667,0.01282051,0.02564103,0.03846154,0.11538462,0.0,0.05,0.0,0.05747126,0.16666667,0.34615385,0.22619048,5.85542169,0.07054725,0.16129032,0.17948718,6.38461538,1985.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1997477947886037,0.13502478879911467,0.2667553626547641,0.049523731061828814,0.007178592237028211,0.02624558913055619,0.12269712907801193,0.06329693557776217,0.028416776582765507,0.6901578192252511,0.08305792492173852,0.17242206985383382,0.40937304558231796,0.3319248278443728,36.52993206502984,0.12334130661764682,0.29707185434221905,0.1426176829275538,6.34222719431038,1986.0,31.0,39.0,3.0,7.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,8.0,42.0,11.0,0.0,1.25806452,0.07692308,0.17948718,0.02564103,0.0,0.02564103,0.12820513,0.0,0.0,0.6901578192252511,0.02380952,0.12820513,0.28205128,0.19047619,2.2,0.055,0.17142857,0.1025641,8.0,1987.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1997477947886037,0.13502478879911467,0.2667553626547641,0.049523731061828814,0.007178592237028211,0.02624558913055619,0.12269712907801193,0.06329693557776217,0.028416776582765507,0.6901578192252511,0.08305792492173852,0.17242206985383382,0.40937304558231796,0.3319248278443728,36.52993206502984,0.12334130661764682,0.29707185434221905,0.1426176829275538,6.34222719431038,1988.0,16.0,29.0,6.0,10.0,3.0,1.0,1.0,6.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,14.0,34.0,18.0,0.2,1.8125,0.20689655,0.34482759,0.10344828,0.03448276,0.03448276,0.20689655,0.0,0.0,0.6901578192252511,0.08823529,0.13793103,0.62068966,0.39393939,7.3125,0.22851563,0.36,0.27586207,8.0,1989.0,96.0,154.0,12.0,38.0,8.0,0.0,2.0,15.0,1.0,0.0,17.0,30.0,3.0,3.0,2.0,0.0,6.0,61.0,179.0,52.0,0.0,1.60416667,0.07792208,0.24675325,0.05194805,0.0,0.01298701,0.0974026,0.01639344,0.0,1.0,0.09497207,0.19480519,0.33766234,0.33333333,16.7251462,0.09780787,0.29508197,0.09090909,5.7
schmimi01,1972.0,13.0,34.0,2.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,15.0,0.0,1.0,0.0,0.0,0.0,13.0,40.0,10.0,0.1,2.61538462,0.05882353,0.20588235,0.0,0.0,0.02941176,0.08823529,0.0,0.0,0.6901578192252511,0.125,0.44117647,0.29411765,0.325,3.07692308,0.07889546,0.33333333,0.08823529,2.6,1973.0,132.0,367.0,43.0,72.0,11.0,0.0,18.0,52.0,8.0,2.0,62.0,136.0,3.0,9.0,1.0,4.0,8.0,146.0,446.0,137.0,1.9,2.78030303,0.11716621,0.19618529,0.02997275,0.0,0.04904632,0.14168937,0.05479452,0.01369863,0.8,0.13901345,0.37057221,0.373297,0.32352941,42.79254079,0.09974951,0.24884793,0.17711172,3.15441176,1974.0,162.0,568.0,108.0,160.0,28.0,7.0,36.0,116.0,23.0,12.0,106.0,138.0,14.0,4.0,3.0,5.0,4.0,284.0,700.0,310.0,9.7,3.50617284,0.19014085,0.28169014,0.04929577,0.01232394,0.06338028,0.20422535,0.08098592,0.04225352,0.65714286,0.15142857,0.24295775,0.54577465,0.39531479,122.34421365,0.1815196,0.31077694,0.26408451,4.88405797,1975.0,158.0,562.0,93.0,140.0,34.0,3.0,38.0,95.0,29.0,12.0,101.0,180.0,10.0,4.0,6.0,1.0,7.0,255.0,684.0,294.0,7.7,3.55696203,0.16548043,0.24911032,0.06049822,0.00533808,0.06761566,0.16903915,0.11372549,0.04705882,0.70731707,0.14766082,0.3202847,0.52313167,0.36676647,106.86877828,0.16118971,0.29565217,0.27402135,3.68333333,1976.0,160.0,584.0,112.0,153.0,31.0,4.0,38.0,107.0,14.0,9.0,100.0,149.0,8.0,11.0,3.0,7.0,7.0,272.0,713.0,306.0,8.0,3.65,0.19178082,0.2619863,0.05308219,0.00684932,0.06506849,0.18321918,0.05147059,0.03308824,0.60869565,0.14025245,0.25513699,0.5239726,0.37606838,113.18421053,0.16547399,0.28465347,0.2619863,4.59060403,1977.0,154.0,544.0,114.0,149.0,27.0,11.0,38.0,101.0,15.0,8.0,104.0,122.0,4.0,9.0,1.0,9.0,10.0,266.0,671.0,312.0,8.8,3.53246753,0.20955882,0.27389706,0.04963235,0.02022059,0.06985294,0.18566176,0.05639098,0.03007519,0.65217391,0.15499255,0.22426471,0.57352941,0.39339339,121.81481481,0.18798583,0.28244275,0.29963235,5.31147541
thomeji01,1991.0,27.0,98.0,7.0,25.0,4.0,2.0,1.0,9.0,1.0,1.0,5.0,16.0,1.0,1.0,0.0,0.0,4.0,32.0,105.0,36.0,-0.1,3.62962963,0.07142857,0.25510204,0.04081633,0.02040816,0.01020408,0.09183673,0.03125,0.03125,0.5,0.04761905,0.16326531,0.36734694,0.29807692,10.48543689,0.10180036,0.2962963,0.1122449,6.4375,1992.0,40.0,117.0,8.0,24.0,3.0,1.0,2.0,12.0,2.0,0.0,10.0,34.0,2.0,2.0,0.0,2.0,3.0,38.0,133.0,35.0,-0.1,2.925,0.06837607,0.20512821,0.02564103,0.00854701,0.01709402,0.1025641,0.05263158,0.0,1.0,0.07518797,0.29059829,0.2991453,0.27480916,9.37007874,0.07378015,0.26506024,0.09401709,3.73529412,1993.0,47.0,154.0,28.0,41.0,11.0,0.0,7.0,22.0,2.0,1.0,29.0,36.0,1.0,4.0,0.0,5.0,3.0,75.0,193.0,73.0,1.2,3.27659574,0.18181818,0.26623377,0.07142857,0.0,0.04545455,0.14285714,0.02666667,0.01333333,0.66666667,0.15025907,0.23376623,0.47402597,0.38541667,27.92349727,0.15258742,0.29310345,0.20779221,5.08333333,1994.0,98.0,321.0,58.0,86.0,20.0,1.0,20.0,52.0,3.0,3.0,46.0,84.0,5.0,0.0,1.0,1.0,11.0,137.0,374.0,168.0,2.0,3.2755102,0.18068536,0.26791277,0.0623053,0.00311526,0.0623053,0.16199377,0.02189781,0.02189781,0.5,0.12299465,0.26168224,0.52336449,0.35869565,60.42506812,0.16464596,0.30275229,0.25545171,4.36904762,1995.0,137.0,452.0,92.0,142.0,29.0,3.0,25.0,73.0,4.0,3.0,97.0,113.0,3.0,5.0,0.0,3.0,8.0,247.0,560.0,252.0,5.9,3.29927007,0.20353982,0.31415929,0.06415929,0.00663717,0.05530973,0.16150442,0.01619433,0.01214575,0.57142857,0.17321429,0.25,0.55752212,0.43806104,109.70491803,0.19982681,0.36908517,0.24336283,4.85840708,1996.0,151.0,505.0,122.0,157.0,28.0,5.0,38.0,116.0,2.0,2.0,123.0,141.0,8.0,6.0,0.0,2.0,13.0,294.0,644.0,309.0,7.5,3.34437086,0.24158416,0.31089109,0.05544554,0.00990099,0.07524752,0.22970297,0.00680272,0.00680272,0.5,0.19099379,0.27920792,0.61188119,0.44968553,137.77070064,0.2193801,0.36280488,0.3009901,4.45390071
diazma02,2003.0,4.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0,-0.1,2.25,0.22222222,0.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.6901578192252511,0.1,0.33333333,0.11111111,0.2,0.2,0.02,0.16666667,0.0,3.33333333,2004.0,10.0,21.0,3.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,7.0,24.0,10.0,0.0,2.1,0.14285714,0.19047619,0.04761905,0.04761905,0.04761905,0.14285714,0.0,0.0,0.6901578192252511,0.04166667,0.28571429,0.47619048,0.29166667,2.27272727,0.10330579,0.21428571,0.28571429,3.66666667,2005.0,34.0,89.0,7.0,25.0,4.0,2.0,1.0,9.0,0.0,1.0,4.0,15.0,0.0,2.0,1.0,1.0,3.0,31.0,97.0,36.0,0.0,2.61764706,0.07865169,0.28089888,0.04494382,0.02247191,0.01123596,0.1011236,0.0,0.03225806,0.0,0.04123711,0.16853933,0.40449438,0.32291667,11.22580645,0.1207076,0.32432432,0.12359551,6.2,2006.0,124.0,297.0,37.0,97.0,15.0,4.0,7.0,32.0,5.0,5.0,11.0,49.0,3.0,9.0,1.0,4.0,9.0,120.0,325.0,141.0,1.9,2.39516129,0.12457912,0.32659933,0.05050505,0.01346801,0.02356902,0.10774411,0.04166667,0.04166667,0.5,0.03384615,0.16498316,0.47474747,0.36448598,49.44155844,0.16052454,0.36734694,0.14814815,6.28571429,2007.0,135.0,358.0,44.0,121.0,21.0,0.0,12.0,45.0,4.0,0.0,16.0,63.0,3.0,4.0,1.0,5.0,8.0,144.0,387.0,178.0,2.6,2.65185185,0.12290503,0.33798883,0.05865922,0.0,0.03351955,0.12569832,0.02777778,0.0,1.0,0.04134367,0.17597765,0.4972067,0.36814621,65.20320856,0.17434013,0.37847222,0.15921788,5.93650794,2008.0,43.0,135.0,9.0,33.0,2.0,0.0,2.0,14.0,4.0,2.0,3.0,32.0,0.0,1.0,0.0,1.0,4.0,37.0,140.0,41.0,0.0,3.13953488,0.06666667,0.24444444,0.01481481,0.0,0.01481481,0.1037037,0.10810811,0.05405405,0.66666667,0.02142857,0.23703704,0.3037037,0.26428571,10.69565217,0.07750473,0.30392157,0.05925926,4.3125
taubeed01,1991.0,26.0,66.0,5.0,16.0,2.0,1.0,0.0,8.0,0.0,0.0,5.0,16.0,1.0,0.0,0.0,2.0,1.0,22.0,74.0,20.0,0.0,2.53846154,0.07575758,0.24242424,0.03030303,0.01515152,0.0,0.12121212,0.0,0.0,0.6901578192252511,0.06756757,0.24242424,0.3030303,0.28767123,5.91549296,0.0833168,0.30769231,0.06060606,4.4375,1992.0,104.0,297.0,23.0,66.0,15.0,0.0,5.0,28.0,2.0,1.0,31.0,78.0,3.0,2.0,0.0,1.0,4.0,102.0,334.0,96.0,0.9,2.85576923,0.07744108,0.22222222,0.05050505,0.0,0.01683502,0.09427609,0.01960784,0.00980392,0.66666667,0.09281437,0.26262626,0.32323232,0.29909366,28.3902439,0.08655562,0.28372093,0.1010101,4.20512821,1993.0,94.0,288.0,26.0,72.0,11.0,1.0,9.0,42.0,1.0,0.0,21.0,44.0,5.0,0.0,1.0,2.0,8.0,98.0,317.0,112.0,0.5,3.06382979,0.09027778,0.25,0.03819444,0.00347222,0.03125,0.14583333,0.01020408,0.0,1.0,0.06624606,0.15277778,0.38888889,0.29903537,33.70873786,0.10908977,0.26582278,0.13888889,7.02272727,1994.0,66.0,187.0,29.0,53.0,8.0,2.0,8.0,21.0,2.0,0.0,15.0,31.0,2.0,0.0,1.0,2.0,3.0,70.0,207.0,89.0,0.9,2.83333333,0.15508021,0.28342246,0.04278075,0.01069519,0.04278075,0.11229947,0.02857143,0.0,1.0,0.07246377,0.1657754,0.47593583,0.33333333,29.96039604,0.14831879,0.3,0.19251337,6.51612903,1995.0,80.0,218.0,32.0,62.0,14.0,2.0,9.0,44.0,2.0,2.0,22.0,52.0,2.0,2.0,1.0,1.0,2.0,88.0,246.0,107.0,1.2,2.725,0.14678899,0.28440367,0.06422018,0.00917431,0.0412844,0.20183486,0.02272727,0.02272727,0.5,0.08943089,0.23853211,0.49082569,0.35390947,37.45,0.15604167,0.33544304,0.20642202,4.61538462,1996.0,108.0,327.0,46.0,95.0,20.0,0.0,12.0,48.0,3.0,4.0,26.0,64.0,5.0,0.0,1.0,5.0,4.0,126.0,364.0,151.0,1.1,3.02777778,0.14067278,0.29051988,0.06116208,0.0,0.03669725,0.14678899,0.02380952,0.03174603,0.42857143,0.07142857,0.19571865,0.4617737,0.33798883,51.7592068,0.14662665,0.32421875,0.17125382,5.515625
wilkiri01,1991.0,86.0,203.0,21.0,45.0,9.0,0.0,6.0,22.0,3.0,3.0,19.0,56.0,2.0,6.0,7.0,0.0,3.0,72.0,237.0,72.0,1.3,2.36046512,0.10344828,0.22167488,0.04433498,0.0,0.02955665,0.10837438,0.04166667,0.04166667,0.5,0.08016878,0.27586207,0.3546798,0.30701754,20.75675676,0.0934989,0.27659574,0.13300493,3.96428571,1992.0,83.0,244.0,20.0,66.0,9.0,1.0,8.0,22.0,0.0,2.0,28.0,53.0,7.0,0.0,1.0,1.0,6.0,101.0,281.0,101.0,1.9,2.93975904,0.08196721,0.2704918,0.03688525,0.00409836,0.03278689,0.09016393,0.0,0.01980198,0.0,0.09964413,0.21721311,0.41393443,0.34432234,34.90441176,0.12832504,0.31521739,0.14344262,5.13207547,1993.0,136.0,446.0,78.0,135.0,23.0,1.0,30.0,73.0,2.0,1.0,50.0,99.0,13.0,3.0,0.0,1.0,6.0,201.0,513.0,250.0,6.6,3.27941176,0.17488789,0.30269058,0.05156951,0.00224215,0.06726457,0.16367713,0.00995025,0.00497512,0.66666667,0.09746589,0.22197309,0.56053812,0.376,93.24596774,0.1879959,0.33018868,0.25784753,5.01010101,1994.0,100.0,313.0,44.0,71.0,25.0,2.0,7.0,39.0,4.0,3.0,40.0,86.0,5.0,2.0,1.0,2.0,3.0,118.0,363.0,121.0,1.5,3.13,0.14057508,0.22683706,0.0798722,0.00638978,0.02236422,0.12460064,0.03389831,0.02542373,0.57142857,0.11019284,0.27476038,0.38658147,0.31652661,38.04815864,0.10778515,0.28828829,0.15974441,4.10465116,1995.0,65.0,202.0,30.0,41.0,3.0,0.0,7.0,19.0,0.0,0.0,46.0,61.0,2.0,1.0,0.0,2.0,9.0,90.0,253.0,65.0,1.2,3.10769231,0.14851485,0.2029703,0.01485149,0.0,0.03465347,0.09405941,0.0,0.0,0.6901578192252511,0.18181818,0.3019802,0.32178218,0.35059761,22.80241935,0.09194524,0.25,0.11881188,4.06557377,1996.0,136.0,411.0,53.0,100.0,18.0,2.0,14.0,59.0,0.0,3.0,67.0,121.0,13.0,1.0,0.0,10.0,5.0,181.0,502.0,164.0,1.2,3.02205882,0.12895377,0.243309,0.04379562,0.00486618,0.03406326,0.14355231,0.0,0.01657459,0.0,0.13346614,0.29440389,0.39902676,0.34355828,57.29707113,0.11986835,0.3006993,0.15571776,3.95041322
jamesdi01,1983.0,11.0,20.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,2.0,0.0,1.81818182,0.05,0.1,0.0,0.0,0.0,0.05,0.25,0.0,1.0,0.09090909,0.1,0.1,0.18181818,0.36363636,0.01652893,0.11111111,0.0,11.0,1984.0,128.0,387.0,52.0,114.0,19.0,5.0,1.0,30.0,10.0,10.0,32.0,41.0,1.0,3.0,6.0,3.0,7.0,150.0,432.0,146.0,1.5,3.0234375,0.13436693,0.29457364,0.04909561,0.0129199,0.00258398,0.07751938,0.06666667,0.06666667,0.5,0.07407407,0.10594315,0.37726098,0.35058824,50.87350835,0.12141649,0.32471264,0.08268734,10.2195122,1985.0,18.0,49.0,5.0,11.0,1.0,0.0,0.0,3.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,55.0,12.0,0.0,2.72222222,0.10204082,0.2244898,0.02040816,0.0,0.0,0.06122449,0.0,0.0,0.6901578192252511,0.10909091,0.12244898,0.24489796,0.30909091,3.70909091,0.06743802,0.25581395,0.02040816,9.16666667,1986.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1997477947886037,0.13502478879911467,0.2667553626547641,0.049523731061828814,0.007178592237028211,0.02624558913055619,0.12269712907801193,0.06329693557776217,0.028416776582765507,0.6901578192252511,0.08305792492173852,0.17242206985383382,0.40937304558231796,0.3319248278443728,36.52993206502984,0.12334130661764682,0.29707185434221905,0.1426176829275538,6.34222719431038,1987.0,134.0,494.0,80.0,154.0,37.0,6.0,10.0,61.0,10.0,8.0,70.0,63.0,2.0,2.0,5.0,3.0,8.0,228.0,576.0,233.0,3.0,3.68656716,0.16194332,0.31174089,0.07489879,0.01214575,0.02024291,0.12348178,0.04385965,0.03508772,0.55555556,0.12152778,0.12753036,0.47165992,0.39718805,92.53900709,0.16407625,0.33962264,0.15991903,8.95238095,1988.0,132.0,386.0,46.0,99.0,17.0,5.0,3.0,30.0,9.0,9.0,58.0,59.0,5.0,1.0,2.0,2.0,12.0,163.0,454.0,135.0,0.0,2.92424242,0.11917098,0.25647668,0.04404145,0.01295337,0.00777202,0.07772021,0.05521472,0.05521472,0.5,0.1277533,0.15284974,0.34974093,0.35346756,47.73648649,0.10751461,0.29447853,0.09326425,7.52542373
harpete01,1980.0,21.0,54.0,3.0,10.0,2.0,1.0,0.0,3.0,2.0,1.0,6.0,5.0,0.0,1.0,0.0,0.0,1.0,17.0,61.0,14.0,0.0,2.57142857,0.05555556,0.18518519,0.03703704,0.01851852,0.0,0.05555556,0.11764706,0.05882353,0.66666667,0.09836066,0.09259259,0.25925926,0.27868852,3.73333333,0.06222222,0.20408163,0.07407407,12.0,1981.0,40.0,73.0,9.0,19.0,1.0,0.0,2.0,8.0,5.0,1.0,11.0,17.0,0.0,0.0,0.0,1.0,2.0,30.0,85.0,26.0,0.3,1.825,0.12328767,0.26027397,0.01369863,0.0,0.02739726,0.10958904,0.16666667,0.03333333,0.83333333,0.12941176,0.23287671,0.35616438,0.35294118,9.28571429,0.11054422,0.30909091,0.09589041,4.94117647,1982.0,48.0,150.0,16.0,43.0,3.0,0.0,2.0,16.0,7.0,4.0,14.0,28.0,0.0,1.0,0.0,2.0,3.0,58.0,167.0,52.0,0.1,3.125,0.10666667,0.28666667,0.02,0.0,0.01333333,0.10666667,0.12068966,0.06896552,0.63636364,0.08383234,0.18666667,0.34666667,0.34730539,18.07317073,0.11020226,0.33606557,0.06,5.85714286,1983.0,80.0,201.0,19.0,53.0,13.0,1.0,3.0,26.0,6.0,5.0,20.0,43.0,0.0,1.0,1.0,1.0,6.0,74.0,224.0,77.0,0.0,2.5125,0.09452736,0.26368159,0.06467662,0.00497512,0.01492537,0.12935323,0.08108108,0.06756757,0.54545455,0.08928571,0.21393035,0.38308458,0.33183857,25.43438914,0.11508773,0.32051282,0.11940299,5.13953488,1984.0,40.0,102.0,4.0,16.0,3.0,1.0,0.0,8.0,4.0,1.0,4.0,21.0,0.0,1.0,0.0,1.0,6.0,21.0,108.0,21.0,0.0,2.55,0.03921569,0.15686275,0.02941176,0.00980392,0.0,0.07843137,0.19047619,0.04761905,0.8,0.03703704,0.20588235,0.20588235,0.19444444,3.96226415,0.03737985,0.19512195,0.04901961,5.04761905,1985.0,138.0,492.0,58.0,130.0,15.0,2.0,17.0,72.0,9.0,9.0,44.0,76.0,4.0,3.0,1.0,2.0,13.0,181.0,546.0,200.0,1.2,3.56521739,0.11788618,0.26422764,0.0304878,0.00406504,0.03455285,0.14634146,0.04972376,0.04972376,0.5,0.08058608,0.15447154,0.40650407,0.3271719,64.92537313,0.12112943,0.28179551,0.14227642,7.05263158
dentbu01,1973.0,40.0,117.0,17.0,29.0,2.0,0.0,0.0,10.0,2.0,3.0,10.0,18.0,0.0,1.0,2.0,2.0,1.0,40.0,132.0,31.0,0.2,2.925,0.14529915,0.24786325,0.01709402,0.0,0.0,0.08547009,0.05,0.075,0.4,0.07575758,0.15384615,0.26495726,0.30769231,9.51968504,0.07495815,0.28712871,0.01709402,7.05555556,1974.0,154.0,496.0,55.0,136.0,15.0,3.0,5.0,45.0,3.0,4.0,28.0,48.0,0.0,3.0,23.0,2.0,9.0,167.0,552.0,172.0,2.1,3.22077922,0.1108871,0.27419355,0.03024194,0.00604839,0.01008065,0.09072581,0.01796407,0.0239521,0.42857143,0.05072464,0.09677419,0.34677419,0.31568998,53.83206107,0.10273294,0.29438202,0.07258065,10.91666667,1975.0,157.0,602.0,52.0,159.0,29.0,4.0,3.0,58.0,2.0,4.0,36.0,48.0,3.0,0.0,15.0,9.0,16.0,198.0,665.0,205.0,1.6,3.8343949,0.08637874,0.2641196,0.04817276,0.00664452,0.00498339,0.09634551,0.01010101,0.02020202,0.33333333,0.05413534,0.07973422,0.34053156,0.30139104,62.65673981,0.09820806,0.27857143,0.07641196,13.29166667,1976.0,158.0,562.0,44.0,138.0,18.0,4.0,2.0,52.0,3.0,5.0,43.0,45.0,3.0,2.0,17.0,2.0,10.0,186.0,629.0,170.0,0.3,3.55696203,0.07829181,0.2455516,0.03202847,0.00711744,0.00355872,0.09252669,0.01612903,0.02688172,0.375,0.06836248,0.08007117,0.3024911,0.30049261,50.85950413,0.0840653,0.26305609,0.0569395,13.44444444,1977.0,158.0,477.0,54.0,118.0,18.0,4.0,8.0,49.0,1.0,1.0,39.0,28.0,0.0,1.0,14.0,9.0,9.0,158.0,540.0,168.0,2.7,3.01898734,0.11320755,0.24737945,0.03773585,0.00838574,0.01677149,0.10272537,0.00632911,0.00632911,0.5,0.07222222,0.05870021,0.35220126,0.30038023,51.11627907,0.09906256,0.24444444,0.1048218,18.42857143,1978.0,123.0,379.0,40.0,92.0,11.0,1.0,5.0,40.0,3.0,1.0,23.0,24.0,1.0,2.0,6.0,5.0,10.0,118.0,416.0,120.0,2.7,3.08130081,0.1055409,0.24274406,0.02902375,0.00263852,0.01319261,0.1055409,0.02542373,0.00847458,0.75,0.05528846,0.06332454,0.31662269,0.28606357,34.32835821,0.08539393,0.24507042,0.07387863,16.75
