player_id,year-0,g-0,w-0,l-0,gs-0,cg-0,sho-0,sv-0,ipouts-0,h-0,er-0,hr-0,bb-0,so-0,ibb-0,wp-0,hbp-0,bfp-0,gf-0,r-0,tbf-0,era-0,baopp-0,tbf_per_g-0,starter_ratio-0,w_per_g-0,l_per_g-0,p_win-0,gf_per_g-0,cg_per_g-0,sho_per_g-0,sv_per_g-0,ipouts_per_g-0,bb_per_bfp-0,hbp_per_bfp-0,hr_per_tbf-0,so_per_tbf-0,wp_per_bfp-0,so_per_bb-0,year-1,g-1,w-1,l-1,gs-1,cg-1,sho-1,sv-1,ipouts-1,h-1,er-1,hr-1,bb-1,so-1,ibb-1,wp-1,hbp-1,bfp-1,gf-1,r-1,tbf-1,era-1,baopp-1,tbf_per_g-1,starter_ratio-1,w_per_g-1,l_per_g-1,p_win-1,gf_per_g-1,cg_per_g-1,sho_per_g-1,sv_per_g-1,ipouts_per_g-1,bb_per_bfp-1,hbp_per_bfp-1,hr_per_tbf-1,so_per_tbf-1,wp_per_bfp-1,so_per_bb-1,year-2,g-2,w-2,l-2,gs-2,cg-2,sho-2,sv-2,ipouts-2,h-2,er-2,hr-2,bb-2,so-2,ibb-2,wp-2,hbp-2,bfp-2,gf-2,r-2,tbf-2,era-2,baopp-2,tbf_per_g-2,starter_ratio-2,w_per_g-2,l_per_g-2,p_win-2,gf_per_g-2,cg_per_g-2,sho_per_g-2,sv_per_g-2,ipouts_per_g-2,bb_per_bfp-2,hbp_per_bfp-2,hr_per_tbf-2,so_per_tbf-2,wp_per_bfp-2,so_per_bb-2,year-3,g-3,w-3,l-3,gs-3,cg-3,sho-3,sv-3,ipouts-3,h-3,er-3,hr-3,bb-3,so-3,ibb-3,wp-3,hbp-3,bfp-3,gf-3,r-3,tbf-3,era-3,baopp-3,tbf_per_g-3,starter_ratio-3,w_per_g-3,l_per_g-3,p_win-3,gf_per_g-3,cg_per_g-3,sho_per_g-3,sv_per_g-3,ipouts_per_g-3,bb_per_bfp-3,hbp_per_bfp-3,hr_per_tbf-3,so_per_tbf-3,wp_per_bfp-3,so_per_bb-3,year-4,g-4,w-4,l-4,gs-4,cg-4,sho-4,sv-4,ipouts-4,h-4,er-4,hr-4,bb-4,so-4,ibb-4,wp-4,hbp-4,bfp-4,gf-4,r-4,tbf-4,era-4,baopp-4,tbf_per_g-4,starter_ratio-4,w_per_g-4,l_per_g-4,p_win-4,gf_per_g-4,cg_per_g-4,sho_per_g-4,sv_per_g-4,ipouts_per_g-4,bb_per_bfp-4,hbp_per_bfp-4,hr_per_tbf-4,so_per_tbf-4,wp_per_bfp-4,so_per_bb-4,year-5,g-5,w-5,l-5,gs-5,cg-5,sho-5,sv-5,ipouts-5,h-5,er-5,hr-5,bb-5,so-5,ibb-5,wp-5,hbp-5,bfp-5,gf-5,r-5,tbf-5,era-5,baopp-5,tbf_per_g-5,starter_ratio-5,w_per_g-5,l_per_g-5,p_win-5,gf_per_g-5,cg_per_g-5,sho_per_g-5,sv_per_g-5,ipouts_per_g-5,bb_per_bfp-5,hbp_per_bfp-5,hr_per_tbf-5,so_per_tbf-5,wp_per_bfp-5,so_per_bb-5
hamiljo02,1994.0,16.0,9.0,6.0,16.0,1.0,1.0,0.0,326.0,98.0,36.0,7.0,29.0,61.0,3.0,6.0,6.0,447.0,0.0,40.0,412.0,2.98159509,0.23786408,25.75,1.0,0.5625,0.375,0.6,0.0,0.0625,0.0625,0.0,20.375,0.06487696,0.01342282,0.01699029,0.14805825,0.01342282,2.10344828,1995.0,31.0,6.0,9.0,30.0,2.0,2.0,0.0,613.0,189.0,70.0,17.0,56.0,123.0,5.0,2.0,11.0,850.0,1.0,89.0,783.0,3.08319739,0.24137931,25.25806452,0.96774194,0.19354839,0.29032258,0.4,0.03225806,0.06451613,0.06451613,0.0,19.77419355,0.06588235,0.01294118,0.02171137,0.15708812,0.00235294,2.19642857,1996.0,34.0,15.0,9.0,33.0,3.0,1.0,0.0,635.0,206.0,98.0,19.0,83.0,184.0,3.0,14.0,9.0,908.0,0.0,100.0,816.0,4.16692913,0.25245098,24.0,0.97058824,0.44117647,0.26470588,0.625,0.0,0.08823529,0.02941176,0.0,18.67647059,0.09140969,0.00991189,0.02328431,0.2254902,0.0154185,2.21686747,1997.0,31.0,12.0,7.0,29.0,1.0,0.0,0.0,578.0,199.0,91.0,22.0,69.0,124.0,2.0,7.0,12.0,831.0,1.0,100.0,750.0,4.25086505,0.26533333,24.19354839,0.93548387,0.38709677,0.22580645,0.63157895,0.03225806,0.03225806,0.0,0.0,18.64516129,0.08303249,0.01444043,0.02933333,0.16533333,0.00842359,1.79710145,1998.0,34.0,13.0,13.0,34.0,0.0,0.0,0.0,652.0,220.0,103.0,15.0,106.0,147.0,10.0,4.0,8.0,958.0,0.0,113.0,844.0,4.26533742,0.26066351,24.82352941,1.0,0.38235294,0.38235294,0.5,0.0,0.0,0.0,0.0,19.17647059,0.11064718,0.00835073,0.01777251,0.17417062,0.00417537,1.38679245,1999.0,22.0,7.0,8.0,18.0,0.0,0.0,0.0,294.0,118.0,71.0,13.0,39.0,56.0,0.0,4.0,3.0,440.0,1.0,73.0,398.0,6.52040816,0.29648241,18.09090909,0.81818182,0.31818182,0.36363636,0.46666667,0.04545455,0.0,0.0,0.0,13.36363636,0.08863636,0.00681818,0.03266332,0.14070352,0.00909091,1.43589744
nelsojo01,2001.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,1.0,2.0,0.0,0.0,0.0,1.0,16.0,0.0,9.0,12.0,36.0,0.58333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.125,0.0625,0.08333333,0.0,0.0,0.0,2002.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0066968,0.25466661,11.30328588,0.33702257,0.16726337,0.16431571,0.50444488,0.27141677,0.03590547,0.01008228,0.07557189,8.79868582,0.08719915,0.00689801,0.02568042,0.18000432,0.00805682,1.85902391,2003.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0066968,0.25466661,11.30328588,0.33702257,0.16726337,0.16431571,0.50444488,0.27141677,0.03590547,0.01008228,0.07557189,8.79868582,0.08719915,0.00689801,0.02568042,0.18000432,0.00805682,1.85902391,2004.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,5.0,0.0,3.0,5.0,0.0,0.0,2.0,17.0,1.0,5.0,11.0,16.875,0.36363636,3.66666667,0.0,0.0,0.0,0.0,0.33333333,0.0,0.0,0.0,2.66666667,0.17647059,0.11764706,0.0,0.45454545,0.0,1.66666667,2005.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0066968,0.25466661,11.30328588,0.33702257,0.16726337,0.16431571,0.50444488,0.27141677,0.03590547,0.01008228,0.07557189,8.79868582,0.08719915,0.00689801,0.02568042,0.18000432,0.00805682,1.85902391,2006.0,43.0,1.0,1.0,0.0,0.0,0.0,9.0,134.0,37.0,22.0,5.0,24.0,44.0,4.0,1.0,1.0,193.0,20.0,22.0,164.0,4.43283582,0.22560976,3.81395349,0.0,0.02325581,0.02325581,0.5,0.46511628,0.0,0.0,0.20930233,3.11627907,0.12435233,0.00518135,0.0304878,0.26829268,0.00518135,1.83333333
lopezro01,2000.0,6.0,0.0,3.0,6.0,0.0,0.0,0.0,74.0,40.0,24.0,5.0,13.0,17.0,0.0,0.0,0.0,120.0,0.0,24.0,106.0,8.75675676,0.37735849,17.66666667,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,12.33333333,0.10833333,0.0,0.04716981,0.16037736,0.0,1.30769231,2001.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0066968,0.25466661,11.30328588,0.33702257,0.16726337,0.16431571,0.50444488,0.27141677,0.03590547,0.01008228,0.07557189,8.79868582,0.08719915,0.00689801,0.02568042,0.18000432,0.00805682,1.85902391,2002.0,33.0,15.0,9.0,28.0,1.0,0.0,0.0,590.0,172.0,78.0,23.0,62.0,136.0,4.0,2.0,5.0,809.0,0.0,83.0,736.0,3.56949153,0.23369565,22.3030303,0.84848485,0.45454545,0.27272727,0.625,0.0,0.03030303,0.0,0.0,17.87878788,0.07663782,0.00618047,0.03125,0.18478261,0.00247219,2.19354839,2003.0,26.0,7.0,10.0,26.0,3.0,1.0,0.0,441.0,188.0,95.0,24.0,43.0,103.0,6.0,2.0,10.0,663.0,0.0,101.0,600.0,5.81632653,0.31333333,23.07692308,1.0,0.26923077,0.38461538,0.41176471,0.0,0.11538462,0.03846154,0.0,16.96153846,0.06485671,0.01508296,0.04,0.17166667,0.00301659,2.39534884,2004.0,37.0,14.0,9.0,23.0,1.0,1.0,0.0,512.0,164.0,68.0,21.0,54.0,121.0,2.0,4.0,2.0,714.0,3.0,71.0,651.0,3.5859375,0.25192012,17.59459459,0.62162162,0.37837838,0.24324324,0.60869565,0.08108108,0.02702703,0.02702703,0.0,13.83783784,0.07563025,0.00280112,0.03225806,0.1858679,0.00560224,2.24074074,2005.0,35.0,15.0,12.0,35.0,0.0,0.0,0.0,628.0,232.0,114.0,28.0,63.0,118.0,1.0,5.0,7.0,918.0,0.0,126.0,840.0,4.90127389,0.27619048,24.0,1.0,0.42857143,0.34285714,0.55555556,0.0,0.0,0.0,0.0,17.94285714,0.06862745,0.00762527,0.03333333,0.14047619,0.00544662,1.87301587
spradje01,1993.0,37.0,2.0,1.0,0.0,0.0,0.0,2.0,147.0,44.0,19.0,4.0,9.0,24.0,0.0,3.0,0.0,193.0,16.0,20.0,184.0,3.48979592,0.23913043,4.97297297,0.0,0.05405405,0.02702703,0.66666667,0.43243243,0.0,0.0,0.05405405,3.97297297,0.04663212,0.0,0.02173913,0.13043478,0.01554404,2.66666667,1994.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,9.0,2.0,2.0,4.0,0.0,0.0,0.0,38.0,2.0,11.0,36.0,10.125,0.33333333,6.0,0.0,0.0,0.0,0.0,0.33333333,0.0,0.0,0.0,4.0,0.05263158,0.0,0.05555556,0.11111111,0.0,2.0,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0066968,0.25466661,11.30328588,0.33702257,0.16726337,0.16431571,0.50444488,0.27141677,0.03590547,0.01008228,0.07557189,8.79868582,0.08719915,0.00689801,0.02568042,0.18000432,0.00805682,1.85902391,1996.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.85902391,1997.0,76.0,4.0,8.0,0.0,0.0,0.0,1.0,245.0,86.0,43.0,9.0,27.0,67.0,3.0,5.0,1.0,345.0,23.0,45.0,317.0,4.73877551,0.27129338,4.17105263,0.0,0.05263158,0.10526316,0.33333333,0.30263158,0.0,0.0,0.01315789,3.22368421,0.07826087,0.00289855,0.02839117,0.21135647,0.01449275,2.48148148,1998.0,69.0,4.0,4.0,0.0,0.0,0.0,1.0,245.0,63.0,32.0,9.0,20.0,76.0,1.0,6.0,2.0,319.0,20.0,34.0,297.0,3.52653061,0.21212121,4.30434783,0.0,0.05797101,0.05797101,0.5,0.28985507,0.0,0.0,0.01449275,3.55072464,0.06269592,0.00626959,0.03030303,0.25589226,0.01880878,3.8
powelde01,1985.0,16.0,1.0,1.0,2.0,0.0,0.0,1.0,88.0,30.0,17.0,7.0,13.0,19.0,3.0,3.0,1.0,133.0,6.0,19.0,119.0,5.21590909,0.25210084,7.4375,0.125,0.0625,0.0625,0.5,0.375,0.0,0.0,0.0625,5.5,0.09774436,0.0075188,0.05882353,0.15966387,0.02255639,1.46153846,1986.0,27.0,2.0,7.0,6.0,0.0,0.0,0.0,196.0,65.0,31.0,5.0,25.0,31.0,7.0,7.0,1.0,272.0,5.0,32.0,246.0,4.27040816,0.26422764,9.11111111,0.22222222,0.07407407,0.25925926,0.22222222,0.18518519,0.0,0.0,0.0,7.25925926,0.09191176,0.00367647,0.0203252,0.12601626,0.02573529,1.24,1987.0,16.0,1.0,3.0,3.0,0.0,0.0,0.0,103.0,32.0,12.0,3.0,15.0,17.0,0.0,0.0,0.0,147.0,1.0,13.0,132.0,3.14563107,0.24242424,8.25,0.1875,0.0625,0.1875,0.25,0.0625,0.0,0.0,0.0,6.4375,0.10204082,0.0,0.02272727,0.12878788,0.0,1.13333333,1988.0,12.0,1.0,3.0,2.0,0.0,0.0,0.0,56.0,29.0,18.0,2.0,11.0,15.0,2.0,0.0,2.0,95.0,1.0,20.0,82.0,8.67857143,0.35365854,6.83333333,0.16666667,0.08333333,0.25,0.25,0.08333333,0.0,0.0,0.0,4.66666667,0.11578947,0.02105263,0.02439024,0.18292683,0.0,1.36363636,1989.0,43.0,2.0,2.0,1.0,0.0,0.0,2.0,135.0,49.0,25.0,6.0,21.0,27.0,0.0,1.0,2.0,201.0,9.0,25.0,178.0,5.0,0.2752809,4.13953488,0.02325581,0.04651163,0.04651163,0.5,0.20930233,0.0,0.0,0.04651163,3.13953488,0.10447761,0.00995025,0.03370787,0.15168539,0.00497512,1.28571429,1990.0,11.0,0.0,4.0,7.0,0.0,0.0,0.0,127.0,64.0,33.0,0.0,21.0,23.0,0.0,2.0,2.0,214.0,2.0,40.0,191.0,7.01574803,0.33507853,17.36363636,0.63636364,0.0,0.36363636,0.0,0.18181818,0.0,0.0,0.0,11.54545455,0.09813084,0.00934579,0.0,0.12041885,0.00934579,1.0952381
seleaa01,1993.0,18.0,7.0,2.0,18.0,0.0,0.0,0.0,335.0,100.0,34.0,5.0,48.0,93.0,2.0,5.0,7.0,484.0,0.0,42.0,429.0,2.74029851,0.23310023,23.83333333,1.0,0.38888889,0.11111111,0.77777778,0.0,0.0,0.0,0.0,18.61111111,0.09917355,0.01446281,0.01165501,0.21678322,0.01033058,1.9375,1994.0,22.0,8.0,7.0,22.0,2.0,0.0,0.0,430.0,140.0,61.0,13.0,60.0,105.0,2.0,4.0,9.0,615.0,0.0,68.0,546.0,3.83023256,0.25641026,24.81818182,1.0,0.36363636,0.31818182,0.53333333,0.0,0.09090909,0.0,0.0,19.54545455,0.09756098,0.01463415,0.02380952,0.19230769,0.00650407,1.75,1995.0,6.0,3.0,1.0,6.0,0.0,0.0,0.0,97.0,32.0,11.0,3.0,14.0,21.0,0.0,3.0,3.0,146.0,0.0,14.0,129.0,3.06185567,0.24806202,21.5,1.0,0.5,0.16666667,0.75,0.0,0.0,0.0,0.0,16.16666667,0.09589041,0.02054795,0.02325581,0.1627907,0.02054795,1.5,1996.0,29.0,7.0,11.0,29.0,1.0,0.0,0.0,472.0,192.0,93.0,14.0,67.0,137.0,2.0,2.0,8.0,722.0,0.0,110.0,647.0,5.31991525,0.29675425,22.31034483,1.0,0.24137931,0.37931034,0.38888889,0.0,0.03448276,0.0,0.0,16.27586207,0.09279778,0.01108033,0.02163833,0.21174652,0.00277008,2.04477612,1997.0,33.0,13.0,12.0,33.0,1.0,0.0,0.0,532.0,196.0,106.0,25.0,80.0,122.0,4.0,7.0,15.0,810.0,0.0,115.0,715.0,5.37969925,0.27412587,21.66666667,1.0,0.39393939,0.36363636,0.52,0.0,0.03030303,0.0,0.0,16.12121212,0.09876543,0.01851852,0.03496503,0.17062937,0.00864198,1.525,1998.0,33.0,19.0,11.0,33.0,3.0,2.0,0.0,638.0,239.0,100.0,14.0,84.0,167.0,6.0,4.0,13.0,954.0,0.0,116.0,857.0,4.23197492,0.27887981,25.96969697,1.0,0.57575758,0.33333333,0.63333333,0.0,0.09090909,0.06060606,0.0,19.33333333,0.08805031,0.01362683,0.01633606,0.19486581,0.00419287,1.98809524
hoffmgu01,1979.0,24.0,0.0,5.0,0.0,0.0,0.0,2.0,91.0,30.0,18.0,0.0,23.0,18.0,5.0,3.0,1.0,142.0,9.0,18.0,118.0,5.34065934,0.25423729,4.91666667,0.0,0.0,0.20833333,0.0,0.375,0.0,0.0,0.08333333,3.79166667,0.16197183,0.00704225,0.0,0.15254237,0.02112676,0.7826087,1980.0,23.0,1.0,0.0,1.0,0.0,0.0,1.0,113.0,38.0,11.0,1.0,17.0,24.0,2.0,1.0,0.0,161.0,8.0,12.0,144.0,2.62831858,0.26388889,6.26086957,0.04347826,0.04347826,0.0,1.0,0.34782609,0.0,0.0,0.04347826,4.91304348,0.10559006,0.0,0.00694444,0.16666667,0.00621118,1.41176471,1981.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0066968,0.25466661,11.30328588,0.33702257,0.16726337,0.16431571,0.50444488,0.27141677,0.03590547,0.01008228,0.07557189,8.79868582,0.08719915,0.00689801,0.02568042,0.18000432,0.00805682,1.85902391,1982.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0066968,0.25466661,11.30328588,0.33702257,0.16726337,0.16431571,0.50444488,0.27141677,0.03590547,0.01008228,0.07557189,8.79868582,0.08719915,0.00689801,0.02568042,0.18000432,0.00805682,1.85902391,1983.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,14.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,32.0,4.0,5.0,30.0,7.5,0.46666667,2.72727273,0.0,0.09090909,0.0,1.0,0.36363636,0.0,0.0,0.0,1.63636364,0.0625,0.0,0.03333333,0.06666667,0.0,1.0,1984.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0066968,0.25466661,11.30328588,0.33702257,0.16726337,0.16431571,0.50444488,0.27141677,0.03590547,0.01008228,0.07557189,8.79868582,0.08719915,0.00689801,0.02568042,0.18000432,0.00805682,1.85902391
bankhsc01,1986.0,24.0,8.0,9.0,17.0,0.0,0.0,0.0,363.0,121.0,62.0,14.0,37.0,94.0,7.0,1.0,3.0,517.0,2.0,66.0,477.0,4.61157025,0.25366876,19.875,0.70833333,0.33333333,0.375,0.47058824,0.08333333,0.0,0.0,0.0,15.125,0.07156673,0.00580271,0.0293501,0.19706499,0.00193424,2.54054054,1987.0,27.0,9.0,8.0,25.0,2.0,0.0,0.0,448.0,168.0,90.0,35.0,37.0,95.0,0.0,2.0,3.0,642.0,1.0,96.0,602.0,5.42410714,0.27906977,22.2962963,0.92592593,0.33333333,0.2962963,0.52941176,0.03703704,0.07407407,0.0,0.0,16.59259259,0.0576324,0.0046729,0.05813953,0.15780731,0.00311526,2.56756757,1988.0,21.0,7.0,9.0,21.0,2.0,1.0,0.0,405.0,115.0,46.0,8.0,38.0,102.0,5.0,3.0,1.0,557.0,0.0,53.0,518.0,3.06666667,0.22200772,24.66666667,1.0,0.33333333,0.42857143,0.4375,0.0,0.0952381,0.04761905,0.0,19.28571429,0.06822262,0.00179533,0.01544402,0.1969112,0.005386,2.68421053,1989.0,33.0,14.0,6.0,33.0,3.0,2.0,0.0,631.0,187.0,78.0,19.0,63.0,140.0,1.0,2.0,3.0,862.0,0.0,84.0,796.0,3.33755943,0.23492462,24.12121212,1.0,0.42424242,0.18181818,0.7,0.0,0.09090909,0.06060606,0.0,19.12121212,0.07308585,0.00348028,0.02386935,0.1758794,0.00232019,2.22222222,1990.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,39.0,18.0,16.0,2.0,7.0,10.0,0.0,1.0,0.0,63.0,0.0,16.0,56.0,11.07692308,0.32142857,14.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,9.75,0.11111111,0.0,0.03571429,0.17857143,0.01587302,1.42857143,1991.0,17.0,3.0,6.0,9.0,0.0,0.0,0.0,182.0,73.0,33.0,8.0,21.0,28.0,2.0,0.0,2.0,271.0,2.0,35.0,248.0,4.8956044,0.29435484,14.58823529,0.52941176,0.17647059,0.35294118,0.33333333,0.11764706,0.0,0.0,0.0,10.70588235,0.07749077,0.00738007,0.03225806,0.11290323,0.0,1.33333333
beltrri01,1997.0,35.0,1.0,2.0,4.0,0.0,0.0,1.0,163.0,47.0,21.0,3.0,17.0,50.0,0.0,1.0,0.0,224.0,16.0,25.0,207.0,3.47852761,0.22705314,5.91428571,0.11428571,0.02857143,0.05714286,0.33333333,0.45714286,0.0,0.0,0.02857143,4.65714286,0.07589286,0.0,0.01449275,0.24154589,0.00446429,2.94117647,1998.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,6.0,3.0,1.0,4.0,5.0,0.0,0.0,0.0,33.0,0.0,3.0,29.0,3.375,0.20689655,4.14285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42857143,0.12121212,0.0,0.03448276,0.17241379,0.0,1.25,1999.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,126.0,50.0,21.0,7.0,19.0,50.0,3.0,7.0,1.0,195.0,12.0,24.0,175.0,4.5,0.28571429,5.3030303,0.0,0.03030303,0.03030303,0.5,0.36363636,0.0,0.0,0.0,3.81818182,0.0974359,0.00512821,0.04,0.28571429,0.03589744,2.63157895,2000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,6.0,2.0,3.0,1.0,0.0,0.0,0.0,13.0,0.0,6.0,10.0,40.5,0.6,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.23076923,0.0,0.2,0.1,0.0,0.33333333,2001.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0066968,0.25466661,11.30328588,0.33702257,0.16726337,0.16431571,0.50444488,0.27141677,0.03590547,0.01008228,0.07557189,8.79868582,0.08719915,0.00689801,0.02568042,0.18000432,0.00805682,1.85902391,2002.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0066968,0.25466661,11.30328588,0.33702257,0.16726337,0.16431571,0.50444488,0.27141677,0.03590547,0.01008228,0.07557189,8.79868582,0.08719915,0.00689801,0.02568042,0.18000432,0.00805682,1.85902391
tomlida01,1972.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,20.0,3.0,4.0,19.0,9.0,0.36842105,6.33333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.05,0.0,0.10526316,0.10526316,0.0,2.0,1973.0,16.0,1.0,2.0,0.0,0.0,0.0,1.0,83.0,24.0,15.0,5.0,15.0,20.0,3.0,0.0,0.0,120.0,7.0,15.0,105.0,4.87951807,0.22857143,6.5625,0.0,0.0625,0.125,0.33333333,0.4375,0.0,0.0,0.0625,5.1875,0.125,0.0,0.04761905,0.19047619,0.0,1.33333333,1974.0,47.0,2.0,0.0,0.0,0.0,0.0,2.0,174.0,59.0,28.0,4.0,30.0,29.0,10.0,2.0,2.0,261.0,19.0,29.0,229.0,4.34482759,0.25764192,4.87234043,0.0,0.04255319,0.0,1.0,0.40425532,0.0,0.0,0.04255319,3.70212766,0.11494253,0.00766284,0.01746725,0.12663755,0.00766284,0.96666667,1975.0,67.0,4.0,2.0,0.0,0.0,0.0,1.0,249.0,87.0,30.0,5.0,31.0,48.0,9.0,1.0,2.0,365.0,19.0,38.0,332.0,3.25301205,0.26204819,4.95522388,0.0,0.05970149,0.02985075,0.66666667,0.28358209,0.0,0.0,0.01492537,3.71641791,0.08493151,0.00547945,0.01506024,0.14457831,0.00273973,1.5483871,1976.0,49.0,0.0,1.0,1.0,0.0,0.0,0.0,219.0,62.0,23.0,4.0,20.0,43.0,6.0,2.0,1.0,290.0,14.0,24.0,269.0,2.83561644,0.23048327,5.48979592,0.02040816,0.0,0.02040816,0.0,0.28571429,0.0,0.0,0.0,4.46938776,0.06896552,0.00344828,0.01486989,0.1598513,0.00689655,2.15,1977.0,76.0,4.0,4.0,0.0,0.0,0.0,3.0,305.0,98.0,34.0,3.0,32.0,55.0,11.0,1.0,2.0,424.0,22.0,38.0,390.0,3.00983607,0.25128205,5.13157895,0.0,0.05263158,0.05263158,0.5,0.28947368,0.0,0.0,0.03947368,4.01315789,0.0754717,0.00471698,0.00769231,0.14102564,0.00235849,1.71875
